"Address","Date","Rent","Aprt_Type","Building_Type"
"1800 E Stassney Ln, Austin, TX 78744","2026/04/01",950,"1 Bed","Apartment"
"1800 E Stassney Ln, Austin, TX 78744","2026/04/01",1087,"2 Beds","Apartment"
"7655 N Ranch Road 620, Austin, TX 78726","2026/04/01",965,"1 Bed","Apartment"
"7655 N Ranch Road 620, Austin, TX 78726","2026/04/01",1113,"2 Beds","Apartment"
"7655 N Ranch Road 620, Austin, TX 78726","2026/04/01",1445,"3 Beds","Apartment"
"4711 E Riverside Dr, Austin, TX 78741","2026/04/01",1195,"Studio","Apartment"
"4711 E Riverside Dr, Austin, TX 78741","2026/04/01",1395,"1 Bed","Apartment"
"4711 E Riverside Dr, Austin, TX 78741","2026/04/01",1695,"2 Beds","Apartment"
"2801 Wells Branch Pky, Austin, TX 78728","2026/04/01",899,"1 Bed","Apartment"
"2801 Wells Branch Pky, Austin, TX 78728","2026/04/01",1199,"2 Beds","Apartment"
"2801 Wells Branch Pky, Austin, TX 78728","2026/04/01",1940,"3 Beds","Apartment"
"6525 Ed Bluestein Blvd, Austin, TX 78724","2026/04/01",1305,"1 Bed","Apartment"
"6525 Ed Bluestein Blvd, Austin, TX 78724","2026/04/01",2016,"2 Beds","Apartment"
"8110 Blue Goose Rd, Manor, TX 78653","2026/04/01",1070,"Studio","Apartment"
"8110 Blue Goose Rd, Manor, TX 78653","2026/04/01",1195,"1 Bed","Apartment"
"8110 Blue Goose Rd, Manor, TX 78653","2026/04/01",1590,"2 Beds+","Apartment"
"11600 Spirit Dr, Del Valle, TX 78617","2026/04/01",1432,"1 Bed","Apartment"
"11600 Spirit Dr, Del Valle, TX 78617","2026/04/01",1963,"2 Beds","Apartment"
"11600 Spirit Dr, Del Valle, TX 78617","2026/04/01",2770,"3 Beds","Apartment"
"801 Steel Timber Dr, Manchaca, TX 78652","2026/04/01",1045,"1 Bed","Apartment"
"801 Steel Timber Dr, Manchaca, TX 78652","2026/04/01",1495,"2 Beds","Apartment"
"801 Steel Timber Dr, Manchaca, TX 78652","2026/04/01",1860,"3 Beds","Apartment"
"7330 Bluff Springs Rd, Austin, TX 78744","2026/04/01",1174,"1 Bed","Apartment"
"7330 Bluff Springs Rd, Austin, TX 78744","2026/04/01",1454,"2 Beds","Apartment"
"7330 Bluff Springs Rd, Austin, TX 78744","2026/04/01",1849,"3 Beds","Apartment"
"1401 S Lamar, Austin, TX 78704","2026/04/01",1640,"1 Bed","Apartment"
"1401 S Lamar, Austin, TX 78704","2026/04/01",3891,"2 Beds","Apartment"
"4424 Jackson Ave, Austin, TX 78731","2026/04/01",1117,"Studio","Apartment"
"4424 Jackson Ave, Austin, TX 78731","2026/04/01",1117,"1 Bed","Apartment"
"4424 Jackson Ave, Austin, TX 78731","2026/04/01",1317,"2 Beds+","Apartment"
"6400 E Riverside Dr, Austin, TX 78741","2026/04/01",1113,"Studio","Apartment"
"6400 E Riverside Dr, Austin, TX 78741","2026/04/01",1409,"1 Bed","Apartment"
"6400 E Riverside Dr, Austin, TX 78741","2026/04/01",1688,"2 Beds+","Apartment"
"13460 Lyndhurst St, Austin, TX 78717","2026/04/01",1271,"1 Bed","Apartment"
"13460 Lyndhurst St, Austin, TX 78717","2026/04/01",1849,"2 Beds","Apartment"
"13460 Lyndhurst St, Austin, TX 78717","2026/04/01",2903,"3 Beds","Apartment"
"1414 E 51st St, Austin, TX 78723","2026/04/01",1442,"Studio","Apartment"
"1414 E 51st St, Austin, TX 78723","2026/04/01",2030,"1 Bed","Apartment"
"1414 E 51st St, Austin, TX 78723","2026/04/01",2967,"2 Beds","Apartment"
"10520 Lakeline Mall Dr, Austin, TX 78717","2026/04/01",1444,"Studio","Apartment"
"10520 Lakeline Mall Dr, Austin, TX 78717","2026/04/01",1686,"1 Bed","Apartment"
"10520 Lakeline Mall Dr, Austin, TX 78717","2026/04/01",2216,"2 Beds+","Apartment"
"5100 Bolm Rd, Austin, TX 78721","2026/04/01",1432,"Studio","Apartment"
"5100 Bolm Rd, Austin, TX 78721","2026/04/01",1789,"1 Bed","Apartment"
"5100 Bolm Rd, Austin, TX 78721","2026/04/01",2522,"2 Beds","Apartment"
"5200 McKinney Falls Pky, Austin, TX 78744","2026/04/01",1432,"1 Bed","Apartment"
"5200 McKinney Falls Pky, Austin, TX 78744","2026/04/01",1697,"2 Beds","Apartment"
"5200 McKinney Falls Pky, Austin, TX 78744","2026/04/01",2222,"3 Beds","Apartment"
"2800 Solaris St, Austin, TX 78758","2026/04/01",2058,"Studio","Apartment"
"2800 Solaris St, Austin, TX 78758","2026/04/01",2317,"1 Bed","Apartment"
"2800 Solaris St, Austin, TX 78758","2026/04/01",3613,"2 Beds","Apartment"
"8350 W US Highway 290, Austin, TX 78737","2026/04/01",1569,"1 Bed","Apartment"
"8350 W US Highway 290, Austin, TX 78737","2026/04/01",2091,"2 Beds","Apartment"
"8350 W US Highway 290, Austin, TX 78737","2026/04/01",3182,"3 Beds+","Apartment"
NA,NA,NA,NA,NA
"300 E Riverside Dr, Austin, TX 78704","2026/04/01",1970,"Studio","Apartment"
"300 E Riverside Dr, Austin, TX 78704","2026/04/01",1994,"1 Bed","Apartment"
"300 E Riverside Dr, Austin, TX 78704","2026/04/01",2511,"2 Beds+","Apartment"
"7581 Chevy Chase Dr, Austin, TX 78752","2026/04/01",826,"1 Bed","Apartment"
"7581 Chevy Chase Dr, Austin, TX 78752","2026/04/01",1159,"2 Beds","Apartment"
"7581 Chevy Chase Dr, Austin, TX 78752","2026/04/01",1504,"3 Beds","Apartment"
"1301 Crossing Pl, Austin, TX 78741","2026/04/01",1134,"2 Beds","Apartment"
"1301 Crossing Pl, Austin, TX 78741","2026/04/01",1354,"3 Beds","Apartment"
"1301 Crossing Pl, Austin, TX 78741","2026/04/01",1422,"4 Beds","Apartment"
"4009 Victory Dr, Austin, TX 78704","2026/04/01",884,"Studio","Apartment"
"4009 Victory Dr, Austin, TX 78704","2026/04/01",1156,"1 Bed","Apartment"
