"Address","Date","Rent","Aprt_Type","Building_Type"
"780 William T Morrissey Blvd, Boston, MA 02122","2026/04/01",2225,"Studio","Apartment"
"780 William T Morrissey Blvd, Boston, MA 02122","2026/04/01",2500,"1 Bed","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/04/01",2161,"1 Bed","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/04/01",2588,"2 Beds","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/04/01",3794,"3 Beds","Apartment"
"1440 Beacon St, Brookline, MA 02446","2026/04/01",2785,"Studio","Apartment"
"1440 Beacon St, Brookline, MA 02446","2026/04/01",2910,"1 Bed","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/04/01",3240,"1 Bed","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/04/01",4535,"2 Beds","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/04/01",8350,"3 Beds","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/04/01",2361,"Studio","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/04/01",2631,"1 Bed","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/04/01",3235,"2 Beds","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/04/01",3110,"1 Bed","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/04/01",3395,"2 Beds","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/04/01",5195,"3 Beds","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/04/01",2348,"Studio","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/04/01",2545,"1 Bed","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/04/01",3193,"2 Beds+","Apartment"
"100 Pier 4 Blvd, Boston, MA 02210","2026/04/01",3150,"Studio","Apartment"
"100 Pier 4 Blvd, Boston, MA 02210","2026/04/01",3795,"1 Bed","Apartment"
"100 Pier 4 Blvd, Boston, MA 02210","2026/04/01",4608,"2 Beds","Apartment"
"3200 Washington St, Boston, MA 02130","2026/04/01",2450,"Studio","Apartment"
"3200 Washington St, Boston, MA 02130","2026/04/01",3600,"2 Beds","Apartment"
"3200 Washington St, Boston, MA 02130","2026/04/01",4965,"3 Beds","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/04/01",3984,"1 Bed","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/04/01",4209,"2 Beds","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/04/01",6802,"3 Beds","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/04/01",3047,"Studio","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/04/01",3634,"1 Bed","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/04/01",5296,"2 Beds+","Apartment"
"1970 Dorchester Ave, Boston, MA 02124","2026/04/01",2175,"Studio","Apartment"
"1970 Dorchester Ave, Boston, MA 02124","2026/04/01",2550,"1 Bed","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/04/01",3281,"Studio","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/04/01",4500,"1 Bed","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/04/01",5593,"2 Beds","Apartment"
"33 Newport Ave, Quincy, MA 02171","2026/04/01",2385,"Studio","Apartment"
"33 Newport Ave, Quincy, MA 02171","2026/04/01",3700,"1 Bed","Apartment"
"33 Newport Ave, Quincy, MA 02171","2026/04/01",3310,"2 Beds","Apartment"
"180 Central Ave, Chelsea, MA 02150","2026/04/01",2758,"1 Bed","Apartment"
"180 Central Ave, Chelsea, MA 02150","2026/04/01",3049,"2 Beds","Apartment"
"1943 Dorchester Ave, Dorchester, MA 02124","2026/04/01",2120,"Studio","Apartment"
"1943 Dorchester Ave, Dorchester, MA 02124","2026/04/01",2645,"1 Bed","Apartment"
"151 N First St, Cambridge, MA 02141","2026/04/01",2600,"Studio","Apartment"
"151 N First St, Cambridge, MA 02141","2026/04/01",3201,"1 Bed","Apartment"
"151 N First St, Cambridge, MA 02141","2026/04/01",4451,"2 Beds+","Apartment"
"525 Lincoln St, Allston, MA 02134","2026/04/01",3362,"Studio","Apartment"
"525 Lincoln St, Allston, MA 02134","2026/04/01",2054,"3 Beds","Apartment"
"525 Lincoln St, Allston, MA 02134","2026/04/01",1550,"4 Beds","Apartment"
"1 Newport Ave, Quincy, MA 02171","2026/04/01",2614,"4 Beds","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/04/01",3430,"Studio","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/04/01",3780,"1 Bed","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/04/01",4975,"2 Beds","Apartment"
"75 Saint Alphonsus St, Boston, MA 02120","2026/04/01",2825,"1 Bed","Apartment"
"75 Saint Alphonsus St, Boston, MA 02120","2026/04/01",3330,"2 Beds","Apartment"
"75 Saint Alphonsus St, Boston, MA 02120","2026/04/01",4309,"3 Beds","Apartment"
"201 S Huntington Ave, Boston, MA 02130","2026/04/01",2891,"Studio","Apartment"
"201 S Huntington Ave, Boston, MA 02130","2026/04/01",3635,"1 Bed","Apartment"
"235 Old Colony Ave, Boston, MA 02127","2026/04/01",2947,"Studio","Apartment"
"235 Old Colony Ave, Boston, MA 02127","2026/04/01",3538,"1 Bed","Apartment"
"235 Old Colony Ave, Boston, MA 02127","2026/04/01",4662,"2 Beds","Apartment"
"399 Congress St, Boston, MA 02210","2026/04/01",3152,"Studio","Apartment"
"399 Congress St, Boston, MA 02210","2026/04/01",3863,"1 Bed","Apartment"
"89 E Dedham St, Boston, MA 02118","2026/04/01",3054,"Studio","Apartment"
