"Address","Date","Rent","Aprt_Type","Building_Type"
"1777 Columbia Rd NW, Washington, DC 20009","2026/03/02",2040,"Studio","Apartment"
"1777 Columbia Rd NW, Washington, DC 20009","2026/03/02",2262,"1 Bed","Apartment"
"800 Kenilworth Ave NE, Washington, DC 20019","2026/03/02",1763,"1 Bed","Apartment"
"800 Kenilworth Ave NE, Washington, DC 20019","2026/03/02",2112,"2 Beds","Apartment"
"800 Kenilworth Ave NE, Washington, DC 20019","2026/03/02",2424,"3 Beds","Apartment"
"2323 Pennsylvania Ave SE, Washington, DC 20020","2026/03/02",1781,"1 Bed","Apartment"
"2323 Pennsylvania Ave SE, Washington, DC 20020","2026/03/02",2128,"2 Beds","Apartment"
"2228 Martin Luther King Jr Ave SE, Washington, DC 20020","2026/03/02",1784,"1 Bed","Apartment"
"2228 Martin Luther King Jr Ave SE, Washington, DC 20020","2026/03/02",2132,"2 Beds","Apartment"
"8750 Georgia Ave, Silver Spring, MD 20910","2026/03/02",1325,"Studio","Apartment"
"8750 Georgia Ave, Silver Spring, MD 20910","2026/03/02",1575,"1 Bed","Apartment"
"8750 Georgia Ave, Silver Spring, MD 20910","2026/03/02",2000,"2 Beds","Apartment"
"44 Banner Ln, Washington, DC 20001","2026/03/02",2175,"Studio","Apartment"
"44 Banner Ln, Washington, DC 20001","2026/03/02",1572,"1 Bed","Apartment"
"44 Banner Ln, Washington, DC 20001","2026/03/02",2745,"2 Beds+","Apartment"
"4000 Wisconsin Ave NW, Washington, DC 20016","2026/03/02",2400,"1 Bed","Apartment"
"4000 Wisconsin Ave NW, Washington, DC 20016","2026/03/02",3744,"2 Beds","Apartment"
"4000 Wisconsin Ave NW, Washington, DC 20016","2026/03/02",8052,"3 Beds","Apartment"
"300 12th St SW, Washington, DC 20024","2026/03/02",1953,"Studio","Apartment"
"300 12th St SW, Washington, DC 20024","2026/03/02",2311,"1 Bed","Apartment"
"300 12th St SW, Washington, DC 20024","2026/03/02",3598,"2 Beds+","Apartment"
"7 M St NE, Washington, DC 20002","2026/03/02",1529,"Studio","Apartment"
"7 M St NE, Washington, DC 20002","2026/03/02",1736,"1 Bed","Apartment"
"7 M St NE, Washington, DC 20002","2026/03/02",1908,"2 Beds+","Apartment"
"113 Potomac Ave SW, Washington, DC 20024","2026/03/02",2154,"Studio","Apartment"
"113 Potomac Ave SW, Washington, DC 20024","2026/03/02",2587,"1 Bed","Apartment"
"113 Potomac Ave SW, Washington, DC 20024","2026/03/02",3025,"2 Beds+","Apartment"
"6830-6896 Laurel St NW, Washington, DC 20012","2026/03/02",1420,"Studio","Apartment"
"6830-6896 Laurel St NW, Washington, DC 20012","2026/03/02",1538,"1 Bed","Apartment"
"6830-6896 Laurel St NW, Washington, DC 20012","2026/03/02",1538,"2 Beds","Apartment"
"1425 New York Ave NW, Washington, DC 20005","2026/03/02",3017,"Studio","Apartment"
"1425 New York Ave NW, Washington, DC 20005","2026/03/02",3482,"1 Bed","Apartment"
"1425 New York Ave NW, Washington, DC 20005","2026/03/02",3964,"2 Beds+","Apartment"
"2650 Woodley Rd NW, Washington, DC 20008","2026/03/02",3230,"1 Bed","Apartment"
"2650 Woodley Rd NW, Washington, DC 20008","2026/03/02",5410,"2 Beds","Apartment"
"2650 Woodley Rd NW, Washington, DC 20008","2026/03/02",7610,"3 Beds","Apartment"
"2601 Calvert St NW, Washington, DC 20008","2026/03/02",2141,"Studio","Apartment"
"2601 Calvert St NW, Washington, DC 20008","2026/03/02",2546,"1 Bed","Apartment"
"2601 Calvert St NW, Washington, DC 20008","2026/03/02",4525,"2 Beds","Apartment"
"3636 16th St NW, Washington, DC 20010","2026/03/02",1240,"Studio","Apartment"
"3636 16th St NW, Washington, DC 20010","2026/03/02",1954,"1 Bed","Apartment"
"1676 Maryland Ave NE, Washington, DC 20002","2026/03/02",1259,"Studio","Apartment"
"1676 Maryland Ave NE, Washington, DC 20002","2026/03/02",1684,"1 Bed","Apartment"
"1676 Maryland Ave NE, Washington, DC 20002","2026/03/02",1982,"2 Beds","Apartment"
"1240 3rd St NE, Washington, DC 20002","2026/03/02",1599,"Studio","Apartment"
"1240 3rd St NE, Washington, DC 20002","2026/03/02",2129,"1 Bed","Apartment"
"1240 3rd St NE, Washington, DC 20002","2026/03/02",3517,"2 Beds+","Apartment"
