"Address","Date","Rent","Aprt_Type","Building_Type"
"1451 24th St, Denver, CO 80205","2026/01/12",1445,"Studio","Apartment"
"1451 24th St, Denver, CO 80205","2026/01/12",1438,"1 Bed","Apartment"
"1451 24th St, Denver, CO 80205","2026/01/12",1726,"2 Beds+","Apartment"
"5031 S Ulster St, Denver, CO 80237","2026/01/12",1653,"Studio","Apartment"
"5031 S Ulster St, Denver, CO 80237","2026/01/12",1853,"1 Bed","Apartment"
"5031 S Ulster St, Denver, CO 80237","2026/01/12",2153,"2 Beds","Apartment"
"82 N Uinta Way, Denver, CO 80230","2026/01/12",1623,"Studio","Apartment"
"82 N Uinta Way, Denver, CO 80230","2026/01/12",1923,"1 Bed","Apartment"
"82 N Uinta Way, Denver, CO 80230","2026/01/12",2523,"2 Beds","Apartment"
"755 S Dexter St, Denver, CO 80246","2026/01/12",1510,"1 Bed","Apartment"
"755 S Dexter St, Denver, CO 80246","2026/01/12",1900,"2 Beds","Apartment"
"225 S Harrison St, Denver, CO 80209","2026/01/12",1913,"1 Bed","Apartment"
"225 S Harrison St, Denver, CO 80209","2026/01/12",2313,"2 Beds","Apartment"
"8012 W Long Dr, Littleton, CO 80123","2026/01/12",1819,"Studio","Apartment"
"8012 W Long Dr, Littleton, CO 80123","2026/01/12",1919,"1 Bed","Apartment"
"8012 W Long Dr, Littleton, CO 80123","2026/01/12",2419,"2 Beds+","Apartment"
"21775 E 65th Ave, Aurora, CO 80019","2026/01/12",1567,"Studio","Apartment"
"21775 E 65th Ave, Aurora, CO 80019","2026/01/12",1574,"1 Bed","Apartment"
"21775 E 65th Ave, Aurora, CO 80019","2026/01/12",2129,"2 Beds+","Apartment"
"3645 S Dallas St, Aurora, CO 80014","2026/01/12",1541,"1 Bed","Apartment"
"3645 S Dallas St, Aurora, CO 80014","2026/01/12",2096,"2 Beds","Apartment"
"3645 S Dallas St, Aurora, CO 80014","2026/01/12",2691,"3 Beds","Apartment"
"10025 W Dartmouth Ave, Lakewood, CO 80227","2026/01/12",1497,"1 Bed","Apartment"
"10025 W Dartmouth Ave, Lakewood, CO 80227","2026/01/12",1745,"2 Beds","Apartment"
"4692 N Beeler Ct, Denver, CO 80238","2026/01/12",1681,"1 Bed","Apartment"
"4692 N Beeler Ct, Denver, CO 80238","2026/01/12",2286,"2 Beds","Apartment"
"2950 Arkins Ct, Denver, CO 80216","2026/01/12",1387,"Studio","Apartment"
"2950 Arkins Ct, Denver, CO 80216","2026/01/12",1673,"1 Bed","Apartment"
"2950 Arkins Ct, Denver, CO 80216","2026/01/12",2333,"2 Beds","Apartment"
"2501 W 26th Ave, Denver, CO 80211","2026/01/12",1491,"Studio","Apartment"
"2501 W 26th Ave, Denver, CO 80211","2026/01/12",1585,"1 Bed","Apartment"
"2501 W 26th Ave, Denver, CO 80211","2026/01/12",1897,"2 Beds","Apartment"
"3595 Wynkoop St, Denver, CO 80216","2026/01/12",1606,"Studio","Apartment"
"3595 Wynkoop St, Denver, CO 80216","2026/01/12",1892,"1 Bed","Apartment"
"3595 Wynkoop St, Denver, CO 80216","2026/01/12",2529,"2 Beds","Apartment"
"3000 W Bates Ave, Denver, CO 80236","2026/01/12",1269,"Studio","Apartment"
"3000 W Bates Ave, Denver, CO 80236","2026/01/12",1533,"1 Bed","Apartment"
"3000 W Bates Ave, Denver, CO 80236","2026/01/12",1915,"2 Beds+","Apartment"
"4607 Xenia St, Denver, CO 80238","2026/01/12",1607,"1 Bed","Apartment"
"4607 Xenia St, Denver, CO 80238","2026/01/12",2247,"2 Beds","Apartment"
"1040 Santa Fe Dr, Denver, CO 80204","2026/01/12",1450,"1 Bed","Apartment"
"1040 Santa Fe Dr, Denver, CO 80204","2026/01/12",2302,"2 Beds","Apartment"
"18457 E 51st Ave, Denver, CO 80249","2026/01/12",1600,"1 Bed","Apartment"
"18457 E 51st Ave, Denver, CO 80249","2026/01/12",2204,"2 Beds","Apartment"
"18457 E 51st Ave, Denver, CO 80249","2026/01/12",2850,"3 Beds","Apartment"
"901 Colorado Blvd, Denver, CO 80206","2026/01/12",1651,"Studio","Apartment"
"901 Colorado Blvd, Denver, CO 80206","2026/01/12",1711,"1 Bed","Apartment"
"901 Colorado Blvd, Denver, CO 80206","2026/01/12",2252,"2 Beds+","Apartment"
"4699 Kittredge St, Denver, CO 80239","2026/01/12",1488,"1 Bed","Apartment"
"4699 Kittredge St, Denver, CO 80239","2026/01/12",1816,"2 Beds","Apartment"
"4699 Kittredge St, Denver, CO 80239","2026/01/12",2366,"3 Beds","Apartment"
"2234 S Trenton Way, Denver, CO 80231","2026/01/12",1662,"1 Bed","Apartment"
"2234 S Trenton Way, Denver, CO 80231","2026/01/12",1846,"2 Beds","Apartment"
"2234 S Trenton Way, Denver, CO 80231","2026/01/12",2477,"3 Beds","Apartment"
