"","Address","Date","Rent","Aprt_Type","Building_Type"
"1","100-300 Riverfront Dr, Detroit, MI 48226","2026/01/01",1196,"1 Bed","Apartment"
"2","100-300 Riverfront Dr, Detroit, MI 48226","2026/01/01",1587,"2 Beds","Apartment"
"3","411 Piquette St, Detroit, MI 48202","2026/01/01",1195,"Studio","Apartment"
"4","411 Piquette St, Detroit, MI 48202","2026/01/01",1395,"1 Bed","Apartment"
"5","5777 Southfield Fwy, Detroit, MI 48228","2026/01/01",900,"Studio","Apartment"
"6","5777 Southfield Fwy, Detroit, MI 48228","2026/01/01",1045,"1 Bed","Apartment"
"7","5777 Southfield Fwy, Detroit, MI 48228","2026/01/01",1375,"2 Beds","Apartment"
"8","3439 Woodward Ave, Detroit, MI 48201","2026/01/01",1350,"Studio","Apartment"
"9","3439 Woodward Ave, Detroit, MI 48201","2026/01/01",1225,"1 Bed","Apartment"
"10","3439 Woodward Ave, Detroit, MI 48201","2026/01/01",2345,"2 Beds","Apartment"
"11","1600 Antietam Ave, Detroit, MI 48207","2026/01/01",900,"Studio","Apartment"
"12","1600 Antietam Ave, Detroit, MI 48207","2026/01/01",1025,"1 Bed","Apartment"
"13","8805 Kingswood St, Detroit, MI 48221","2026/01/01",1035,"1 Bed","Apartment"
"14","8805 Kingswood St, Detroit, MI 48221","2026/01/01",1095,"2 Beds","Apartment"
"15","114 W Adams Rd, Detroit, MI 48226","2026/01/01",999,"Studio","Apartment"
"16","114 W Adams Rd, Detroit, MI 48226","2026/01/01",1350,"1 Bed","Apartment"
"17","114 W Adams Rd, Detroit, MI 48226","2026/01/01",2000,"2 Beds","Apartment"
"NA",NA,NA,NA,NA,NA
"19","2911 W Grand Blvd, Detroit, MI 48202","2026/01/01",1395,"Studio","Apartment"
"20","2911 W Grand Blvd, Detroit, MI 48202","2026/01/01",1615,"1 Bed","Apartment"
"21","2911 W Grand Blvd, Detroit, MI 48202","2026/01/01",1860,"2 Beds","Apartment"
"22","1265 Washington Blvd, Detroit, MI 48226","2026/01/01",1590,"Studio","Apartment"
"23","1265 Washington Blvd, Detroit, MI 48226","2026/01/01",2135,"1 Bed","Apartment"
"24","1265 Washington Blvd, Detroit, MI 48226","2026/01/01",3760,"2 Beds","Apartment"
"25","440 Alfred St, Detroit, MI 48201","2026/01/01",1415,"Studio","Apartment"
"26","440 Alfred St, Detroit, MI 48201","2026/01/01",1705,"1 Bed","Apartment"
"27","440 Alfred St, Detroit, MI 48201","2026/01/01",2450,"2 Beds+","Apartment"
"28","2701 Park Ave, Detroit, MI 48201","2026/01/01",1135,"Studio","Apartment"
"29","2701 Park Ave, Detroit, MI 48201","2026/01/01",1789,"1 Bed","Apartment"
"30","21516 Dequindre Rd, Warren, MI 48091","2026/01/01",990,"1 Bed","Apartment"
"31","21516 Dequindre Rd, Warren, MI 48091","2026/01/01",1290,"2 Beds","Apartment"
"32","16500 N Park Dr, Southfield, MI 48075","2026/01/01",959,"Studio","Apartment"
"33","16500 N Park Dr, Southfield, MI 48075","2026/01/01",1399,"1 Bed","Apartment"
"34","16500 N Park Dr, Southfield, MI 48075","2026/01/01",1639,"2 Beds+","Apartment"
"35","4900 Heather Dr, Dearborn, MI 48126","2026/01/01",1225,"1 Bed","Apartment"
"36","4900 Heather Dr, Dearborn, MI 48126","2026/01/01",1725,"2 Beds","Apartment"
"37","1249 Griswold St, Detroit, MI 48226","2026/01/01",1250,"Studio","Apartment"
"38","1249 Griswold St, Detroit, MI 48226","2026/01/01",1910,"1 Bed","Apartment"
"39","1249 Griswold St, Detroit, MI 48226","2026/01/01",2100,"2 Beds","Apartment"
"40","1212 Griswold St, Detroit, MI 48226","2026/01/01",1360,"Studio","Apartment"
"41","1212 Griswold St, Detroit, MI 48226","2026/01/01",1920,"1 Bed","Apartment"
"42","1145 Griswold St, Detroit, MI 48226","2026/01/01",1485,"Studio","Apartment"
"43","1145 Griswold St, Detroit, MI 48226","2026/01/01",1620,"1 Bed","Apartment"
"44","1145 Griswold St, Detroit, MI 48226","2026/01/01",2250,"2 Beds","Apartment"
"45","150 Bagley St, Detroit, MI 48226","2026/01/01",1285,"1 Bed","Apartment"
"46","150 Bagley St, Detroit, MI 48226","2026/01/01",3175,"2 Beds","Apartment"
"47","1405 Rivard St, Detroit, MI 48207","2026/01/01",1115,"Studio","Apartment"
"48","1405 Rivard St, Detroit, MI 48207","2026/01/01",1401,"1 Bed","Apartment"
"49","1405 Rivard St, Detroit, MI 48207","2026/01/01",1686,"2 Beds","Apartment"
"50","2420 Bagley Ave, Detroit, MI 48216","2026/01/01",1295,"Studio","Apartment"
"51","2420 Bagley Ave, Detroit, MI 48216","2026/01/01",1440,"1 Bed","Apartment"
"52","2420 Bagley Ave, Detroit, MI 48216","2026/01/01",2200,"2 Beds","Apartment"
"53","450 Amsterdam St, Detroit, MI 48202","2026/01/01",1150,"Studio","Apartment"
"54","450 Amsterdam St, Detroit, MI 48202","2026/01/01",1535,"1 Bed","Apartment"
"55","450 Amsterdam St, Detroit, MI 48202","2026/01/01",1818,"2 Beds","Apartment"
"56","3740 2nd Ave, Detroit, MI 48201","2026/01/01",1290,"Studio","Apartment"
"57","3740 2nd Ave, Detroit, MI 48201","2026/01/01",1515,"1 Bed","Apartment"
"58","240 Mack Ave, Detroit, MI 48201","2026/01/01",1100,"1 Bed",NA
"59","1431 Washington Blvd, Detroit, MI 48226","2026/01/01",1275,"1 Bed","Apartment"
"60","1431 Washington Blvd, Detroit, MI 48226","2026/01/01",1670,"2 Beds","Apartment"
"61","555-575 Brush Ave, Detroit, MI 48226","2026/01/01",1330,"1 Bed","Apartment"
"62","555-575 Brush Ave, Detroit, MI 48226","2026/01/01",1880,"2 Beds","Apartment"
"63","1544 E Lafayette St, Detroit, MI 48207","2026/01/01",1450,"Studio","Apartment"
"64","1544 E Lafayette St, Detroit, MI 48207","2026/01/01",1685,"1 Bed","Apartment"
"65","1544 E Lafayette St, Detroit, MI 48207","2026/01/01",1795,"2 Beds","Apartment"
"66","229 Orleans St, Detroit, MI 48207","2026/01/01",1325,"1 Bed","Apartment"
"67","229 Orleans St, Detroit, MI 48207","2026/01/01",2225,"2 Beds","Apartment"
"68","40 Davenport St, Detroit, MI 48201","2026/01/01",1000,"Studio","Apartment"
"69","40 Davenport St, Detroit, MI 48201","2026/01/01",1300,"1 Bed","Apartment"
"70","40 Davenport St, Detroit, MI 48201","2026/01/01",2000,"2 Beds","Apartment"
"71","9000 E Jefferson Ave, Detroit, MI 48214","2026/01/01",948,"1 Bed","Apartment"
"72","9000 E Jefferson Ave, Detroit, MI 48214","2026/01/01",1278,"2 Beds","Apartment"
"73","9000 E Jefferson Ave, Detroit, MI 48214","2026/01/01",2725,"3 Beds+","Apartment"
"74","1214-1230 Griswold St, Detroit, MI 48226","2026/01/01",1500,"3 Beds+",NA
"75","76 W Adams Ave, Detroit, MI 48226","2026/01/01",1807,"1 Bed","Apartment"
"76","76 W Adams Ave, Detroit, MI 48226","2026/01/01",2018,"2 Beds","Apartment"
"77","1 Lafayette Plaisance St, Detroit, MI 48207","2026/01/01",1073,"Studio","Apartment"
"78","1 Lafayette Plaisance St, Detroit, MI 48207","2026/01/01",1367,"1 Bed","Apartment"
"79","1 Lafayette Plaisance St, Detroit, MI 48207","2026/01/01",1700,"2 Beds","Apartment"
"80","500 River Place Dr, Detroit, MI 48207","2026/01/01",1200,"1 Bed","Apartment"
"81","500 River Place Dr, Detroit, MI 48207","2026/01/01",1600,"2 Beds","Apartment"
"82","500 River Place Dr, Detroit, MI 48207","2026/01/01",2100,"3 Beds","Apartment"
"83","600 Woodward Ave, Detroit, MI 48226","2026/01/01",5000,"1 Bed","Apartment"
"84","600 Woodward Ave, Detroit, MI 48226","2026/01/01",5400,"2 Beds","Apartment"
"85","1117 Griswold St, Detroit, MI 48226","2026/01/01",1875,"1 Bed","Apartment"
"86","1117 Griswold St, Detroit, MI 48226","2026/01/01",2375,"2 Beds","Apartment"
"87","1511 1st St, Detroit, MI 48226","2026/01/01",800,"Studio","Apartment"
"88","1511 1st St, Detroit, MI 48226","2026/01/01",1130,"1 Bed","Apartment"
"89","313 Park Ave, Detroit, MI 48226","2026/01/01",1560,"1 Bed","Apartment"
"90","313 Park Ave, Detroit, MI 48226","2026/01/01",2195,"2 Beds","Apartment"
"91","4830 Cass Ave, Detroit, MI 48201","2026/01/01",1450,"Studio","Apartment"
"92","4830 Cass Ave, Detroit, MI 48201","2026/01/01",1075,"1 Bed","Apartment"
"93","4830 Cass Ave, Detroit, MI 48201","2026/01/01",2050,"2 Beds+","Apartment"
"112","20875 Lahser Rd, Southfield, MI 48033","2026/01/01",975,"1 Bed","Apartment"
"113","20875 Lahser Rd, Southfield, MI 48033","2026/01/01",1099,"2 Beds","Apartment"
"114","15101 Ford Rd, Dearborn, MI 48126","2026/01/01",1500,"1 Bed","Apartment"
"115","15101 Ford Rd, Dearborn, MI 48126","2026/01/01",2600,"2 Beds","Apartment"
