"Address","Date","Rent","Aprt_Type","Building_Type"
"100-300 Riverfront Dr, Detroit, MI 48226","2026/02/02",1265,"1 Bed","Apartment"
"100-300 Riverfront Dr, Detroit, MI 48226","2026/02/02",1612,"2 Beds","Apartment"
"100-300 Riverfront Dr, Detroit, MI 48226","2026/02/02",13523,"3 Beds","Apartment"
"305 Michigan Ave, Detroit, MI 48226","2026/02/02",3000,"3 Beds",NA
"2911 W Grand Blvd, Detroit, MI 48202","2026/02/02",1414,"Studio","Apartment"
"2911 W Grand Blvd, Detroit, MI 48202","2026/02/02",1615,"1 Bed","Apartment"
"2911 W Grand Blvd, Detroit, MI 48202","2026/02/02",1860,"2 Beds","Apartment"
"1265 Washington Blvd, Detroit, MI 48226","2026/02/02",1590,"Studio","Apartment"
"1265 Washington Blvd, Detroit, MI 48226","2026/02/02",2490,"1 Bed","Apartment"
"1265 Washington Blvd, Detroit, MI 48226","2026/02/02",3760,"2 Beds","Apartment"
"440 Alfred St, Detroit, MI 48201","2026/02/02",1415,"Studio","Apartment"
"440 Alfred St, Detroit, MI 48201","2026/02/02",1705,"1 Bed","Apartment"
"440 Alfred St, Detroit, MI 48201","2026/02/02",2585,"2 Beds+","Apartment"
"2701 Park Ave, Detroit, MI 48201","2026/02/02",1135,"Studio","Apartment"
"2701 Park Ave, Detroit, MI 48201","2026/02/02",1789,"1 Bed","Apartment"
"411 Piquette St, Detroit, MI 48202","2026/02/02",1195,"Studio","Apartment"
"411 Piquette St, Detroit, MI 48202","2026/02/02",1890,"2 Beds","Apartment"
"5777 Southfield Fwy, Detroit, MI 48228","2026/02/02",875,"Studio","Apartment"
"5777 Southfield Fwy, Detroit, MI 48228","2026/02/02",1035,"1 Bed","Apartment"
"5777 Southfield Fwy, Detroit, MI 48228","2026/02/02",1295,"2 Beds","Apartment"
"3439 Woodward Ave, Detroit, MI 48201","2026/02/02",1350,"Studio","Apartment"
"3439 Woodward Ave, Detroit, MI 48201","2026/02/02",1225,"1 Bed","Apartment"
"3439 Woodward Ave, Detroit, MI 48201","2026/02/02",2345,"2 Beds","Apartment"
"1600 Antietam Ave, Detroit, MI 48207","2026/02/02",900,"Studio","Apartment"
"1600 Antietam Ave, Detroit, MI 48207","2026/02/02",1100,"1 Bed","Apartment"
"8805 Kingswood St, Detroit, MI 48221","2026/02/02",1035,"1 Bed","Apartment"
"8805 Kingswood St, Detroit, MI 48221","2026/02/02",1145,"2 Beds","Apartment"
"114 W Adams Rd, Detroit, MI 48226","2026/02/02",999,"Studio","Apartment"
"114 W Adams Rd, Detroit, MI 48226","2026/02/02",1350,"1 Bed","Apartment"
"114 W Adams Rd, Detroit, MI 48226","2026/02/02",2000,"2 Beds","Apartment"
"4900 Heather Dr, Dearborn, MI 48126","2026/02/02",1293,"1 Bed","Apartment"
"4900 Heather Dr, Dearborn, MI 48126","2026/02/02",1840,"2 Beds","Apartment"
"21516 Dequindre Rd, Warren, MI 48091","2026/02/02",990,"1 Bed","Apartment"
"21516 Dequindre Rd, Warren, MI 48091","2026/02/02",1290,"2 Beds","Apartment"
"16500 N Park Dr, Southfield, MI 48075","2026/02/02",959,"Studio","Apartment"
"16500 N Park Dr, Southfield, MI 48075","2026/02/02",1399,"1 Bed","Apartment"
"16500 N Park Dr, Southfield, MI 48075","2026/02/02",1639,"2 Beds+","Apartment"
"1145 Griswold St, Detroit, MI 48226","2026/02/02",1450,"Studio","Apartment"
"1145 Griswold St, Detroit, MI 48226","2026/02/02",1595,"1 Bed","Apartment"
"1249 Griswold St, Detroit, MI 48226","2026/02/02",980,"Studio","Apartment"
"1249 Griswold St, Detroit, MI 48226","2026/02/02",1795,"1 Bed","Apartment"
"1249 Griswold St, Detroit, MI 48226","2026/02/02",2100,"2 Beds","Apartment"
"1212 Griswold St, Detroit, MI 48226","2026/02/02",1340,"Studio","Apartment"
"1212 Griswold St, Detroit, MI 48226","2026/02/02",1920,"1 Bed","Apartment"
"1511 1st St, Detroit, MI 48226","2026/02/02",840,"Studio","Apartment"
"1511 1st St, Detroit, MI 48226","2026/02/02",1170,"1 Bed","Apartment"
"313 Park Ave, Detroit, MI 48226","2026/02/02",1560,"1 Bed",NA
"4830 Cass Ave, Detroit, MI 48201","2026/02/02",1450,"Studio","Apartment"
"4830 Cass Ave, Detroit, MI 48201","2026/02/02",1075,"1 Bed","Apartment"
"4830 Cass Ave, Detroit, MI 48201","2026/02/02",2050,"2 Beds+","Apartment"
"8100-8106 E Jefferson Ave, Detroit, MI 48214","2026/02/02",700,"Studio","Apartment"
"8100-8106 E Jefferson Ave, Detroit, MI 48214","2026/02/02",1000,"1 Bed","Apartment"
"8100-8106 E Jefferson Ave, Detroit, MI 48214","2026/02/02",1040,"2 Beds+","Apartment"
"3500 E Jefferson Ave, Detroit, MI 48207","2026/02/02",2405,"2 Beds+",NA
"1247 Woodward Ave, Detroit, MI 48226","2026/02/02",1440,"Studio","Apartment"
"1247 Woodward Ave, Detroit, MI 48226","2026/02/02",1630,"1 Bed","Apartment"
"1247 Woodward Ave, Detroit, MI 48226","2026/02/02",1995,"2 Beds","Apartment"
"3150 Woodward Ave, Detroit, MI 48201","2026/02/02",1715,"1 Bed","Apartment"
"3150 Woodward Ave, Detroit, MI 48201","2026/02/02",2100,"2 Beds","Apartment"
"3150 Woodward Ave, Detroit, MI 48201","2026/02/02",2800,"3 Beds","Apartment"
"28 W Grand River Ave, Detroit, MI 48226","2026/02/02",995,"3 Beds",NA
"1400 W Elizabeth St, Detroit, MI 48216","2026/02/02",2140,"Studio","Apartment"
"1400 W Elizabeth St, Detroit, MI 48216","2026/02/02",1585,"1 Bed","Apartment"
"310 Gratiot Ave, Detroit, MI 48226","2026/02/02",1045,"Studio","Apartment"
