"Address","Date","Rent","Aprt_Type","Building_Type"
"6800 Brendon Way W Dr, Indianapolis, IN 46226","2026/01/12",1050,"1 Bed","Apartment"
"6800 Brendon Way W Dr, Indianapolis, IN 46226","2026/01/12",1195,"2 Beds","Apartment"
"6800 Brendon Way W Dr, Indianapolis, IN 46226","2026/01/12",1475,"3 Beds","Apartment"
"6349 N College Ave, Indianapolis, IN 46220","2026/01/12",1295,"Studio","Apartment"
"6349 N College Ave, Indianapolis, IN 46220","2026/01/12",1395,"1 Bed","Apartment"
"6349 N College Ave, Indianapolis, IN 46220","2026/01/12",2295,"2 Beds","Apartment"
"11335 N Michigan Rd, Zionsville, IN 46077","2026/01/12",1424,"1 Bed","Apartment"
"11335 N Michigan Rd, Zionsville, IN 46077","2026/01/12",1869,"2 Beds","Apartment"
"11335 N Michigan Rd, Zionsville, IN 46077","2026/01/12",2399,"3 Beds","Apartment"
"5945 Arlo Dr, Indianapolis, IN 46237","2026/01/12",1340,"Studio","Apartment"
"5945 Arlo Dr, Indianapolis, IN 46237","2026/01/12",1420,"1 Bed","Apartment"
"5945 Arlo Dr, Indianapolis, IN 46237","2026/01/12",1740,"2 Beds+","Apartment"
"7600 Pennsy Pky, Indianapolis, IN 46229","2026/01/12",1225,"1 Bed","Apartment"
"7600 Pennsy Pky, Indianapolis, IN 46229","2026/01/12",1450,"2 Beds","Apartment"
"3645 Wingate Ct, Indianapolis, IN 46235","2026/01/12",725,"Studio","Apartment"
"3645 Wingate Ct, Indianapolis, IN 46235","2026/01/12",829,"1 Bed","Apartment"
"3645 Wingate Ct, Indianapolis, IN 46235","2026/01/12",1120,"2 Beds+","Apartment"
"832 Park Central Ct, Indianapolis, IN 46260","2026/01/12",1379,"2 Beds","Apartment"
"832 Park Central Ct, Indianapolis, IN 46260","2026/01/12",1779,"3 Beds","Apartment"
"2234 Hermitage Way, Indianapolis, IN 46224","2026/01/12",1039,"1 Bed","Apartment"
"2234 Hermitage Way, Indianapolis, IN 46224","2026/01/12",1167,"2 Beds","Apartment"
"2234 Hermitage Way, Indianapolis, IN 46224","2026/01/12",1462,"3 Beds","Apartment"
"9075 Autumn Woods Dr, Indianapolis, IN 46250","2026/01/12",999,"1 Bed","Apartment"
"9075 Autumn Woods Dr, Indianapolis, IN 46250","2026/01/12",1240,"2 Beds","Apartment"
"7135 Thatcher Dr, Indianapolis, IN 46256","2026/01/12",1199,"1 Bed","Apartment"
"7135 Thatcher Dr, Indianapolis, IN 46256","2026/01/12",1235,"2 Beds","Apartment"
"7266 Lockwood Ln, Indianapolis, IN 46217","2026/01/12",840,"1 Bed","Apartment"
"7266 Lockwood Ln, Indianapolis, IN 46217","2026/01/12",1115,"2 Beds","Apartment"
"6111 Allisonville Rd, Indianapolis, IN 46220","2026/01/12",899,"1 Bed","Apartment"
"6111 Allisonville Rd, Indianapolis, IN 46220","2026/01/12",1325,"2 Beds","Apartment"
"6111 Allisonville Rd, Indianapolis, IN 46220","2026/01/12",1450,"3 Beds","Apartment"
"7601 Carlton Arms Dr, Indianapolis, IN 46256","2026/01/12",947,"Studio","Apartment"
"7601 Carlton Arms Dr, Indianapolis, IN 46256","2026/01/12",896,"1 Bed","Apartment"
"7601 Carlton Arms Dr, Indianapolis, IN 46256","2026/01/12",1194,"2 Beds","Apartment"
"2629 Plaza Dr, Indianapolis, IN 46268","2026/01/12",800,"1 Bed","Apartment"
"2629 Plaza Dr, Indianapolis, IN 46268","2026/01/12",1060,"2 Beds","Apartment"
"50 N Illinois St, Indianapolis, IN 46204","2026/01/12",1399,"1 Bed","Apartment"
"50 N Illinois St, Indianapolis, IN 46204","2026/01/12",1849,"2 Beds","Apartment"
"50 N Illinois St, Indianapolis, IN 46204","2026/01/12",2459,"3 Beds","Apartment"
"3914 Lake Clearwater Pl, Indianapolis, IN 46240","2026/01/12",1270,"1 Bed","Apartment"
"3914 Lake Clearwater Pl, Indianapolis, IN 46240","2026/01/12",1710,"2 Beds","Apartment"
"3685 St Thomas Blvd, Indianapolis, IN 46214","2026/01/12",828,"1 Bed","Apartment"
"3685 St Thomas Blvd, Indianapolis, IN 46214","2026/01/12",1168,"2 Beds","Apartment"
"3640 Beluga Ln, Indianapolis, IN 46214","2026/01/12",840,"1 Bed","Apartment"
"3640 Beluga Ln, Indianapolis, IN 46214","2026/01/12",1100,"2 Beds","Apartment"
"6000 Westlake Dr, Indianapolis, IN 46224","2026/01/12",770,"Studio","Apartment"
"6000 Westlake Dr, Indianapolis, IN 46224","2026/01/12",745,"1 Bed","Apartment"
"6000 Westlake Dr, Indianapolis, IN 46224","2026/01/12",1048,"2 Beds+","Apartment"
"8201 Madison Ave, Indianapolis, IN 46227","2026/01/12",999,"2 Beds","Apartment"
"8201 Madison Ave, Indianapolis, IN 46227","2026/01/12",1299,"3 Beds","Apartment"
"8201 Madison Ave, Indianapolis, IN 46227","2026/01/12",1599,"4 Beds","Apartment"
"5301 S Turtle Creek South Dr, Indianapolis, IN 46227","2026/01/12",734,"1 Bed","Apartment"
"5301 S Turtle Creek South Dr, Indianapolis, IN 46227","2026/01/12",805,"2 Beds","Apartment"
"5301 S Turtle Creek South Dr, Indianapolis, IN 46227","2026/01/12",1160,"3 Beds","Apartment"
"3215 N Alton Ave, Indianapolis, IN 46222","2026/01/12",779,"1 Bed","Apartment"
"3215 N Alton Ave, Indianapolis, IN 46222","2026/01/12",1079,"2 Beds","Apartment"
"3215 N Alton Ave, Indianapolis, IN 46222","2026/01/12",1279,"3 Beds","Apartment"
"2054 High Eagle Trl, Indianapolis, IN 46224","2026/01/12",1062,"1 Bed","Apartment"
"2054 High Eagle Trl, Indianapolis, IN 46224","2026/01/12",1221,"2 Beds","Apartment"
"2054 High Eagle Trl, Indianapolis, IN 46224","2026/01/12",1498,"3 Beds","Apartment"
"2085 Waterford Pl, Indianapolis, IN 46260","2026/01/12",774,"Studio","Apartment"
"2085 Waterford Pl, Indianapolis, IN 46260","2026/01/12",699,"1 Bed","Apartment"
"2085 Waterford Pl, Indianapolis, IN 46260","2026/01/12",804,"2 Beds+","Apartment"
"7171 Twin Oaks Dr, Indianapolis, IN 46226","2026/01/12",829,"Studio","Apartment"
"7171 Twin Oaks Dr, Indianapolis, IN 46226","2026/01/12",849,"1 Bed","Apartment"
"7171 Twin Oaks Dr, Indianapolis, IN 46226","2026/01/12",1099,"2 Beds+","Apartment"
"9060 E 39th Pl, Indianapolis, IN 46235","2026/01/12",769,"1 Bed","Apartment"
"9060 E 39th Pl, Indianapolis, IN 46235","2026/01/12",899,"2 Beds","Apartment"
"1717 W 10th St, Indianapolis, IN 46222","2026/01/12",1200,"Studio","Apartment"
"1717 W 10th St, Indianapolis, IN 46222","2026/01/12",1350,"1 Bed","Apartment"
"1717 W 10th St, Indianapolis, IN 46222","2026/01/12",900,"2 Beds+","Apartment"
"421 N Pennsylvania St, Indianapolis, IN 46204","2026/01/12",1341,"Studio","Apartment"
"421 N Pennsylvania St, Indianapolis, IN 46204","2026/01/12",1370,"1 Bed","Apartment"
"421 N Pennsylvania St, Indianapolis, IN 46204","2026/01/12",1852,"2 Beds","Apartment"
"2755 Red Bloom Dr, Greenwood, IN 46143","2026/01/12",1395,"1 Bed","Apartment"
"2755 Red Bloom Dr, Greenwood, IN 46143","2026/01/12",1670,"2 Beds","Apartment"
"2755 Red Bloom Dr, Greenwood, IN 46143","2026/01/12",1970,"3 Beds","Apartment"
"147 Diplomat Ct, Beech Grove, IN 46107","2026/01/12",928,"1 Bed","Apartment"
"147 Diplomat Ct, Beech Grove, IN 46107","2026/01/12",918,"2 Beds","Apartment"
"147 Diplomat Ct, Beech Grove, IN 46107","2026/01/12",1181,"3 Beds","Apartment"
"5000 Bennett Pky, Zionsville, IN 46077","2026/01/12",1395,"1 Bed","Apartment"
"5000 Bennett Pky, Zionsville, IN 46077","2026/01/12",1695,"2 Beds","Apartment"
"5000 Bennett Pky, Zionsville, IN 46077","2026/01/12",2195,"3 Beds","Apartment"
"2870 Pearsons Pky, Plainfield, IN 46168","2026/01/12",1399,"Studio","Apartment"
"2870 Pearsons Pky, Plainfield, IN 46168","2026/01/12",1539,"1 Bed","Apartment"
"2870 Pearsons Pky, Plainfield, IN 46168","2026/01/12",1749,"2 Beds+","Apartment"
"2136 Central Ave, Indianapolis, IN 46202","2026/01/12",1329,"Studio","Apartment"
"2136 Central Ave, Indianapolis, IN 46202","2026/01/12",1299,"1 Bed","Apartment"
"2136 Central Ave, Indianapolis, IN 46202","2026/01/12",1849,"2 Beds+","Apartment"
"1827 N Meridian St, Indianapolis, IN 46202","2026/01/12",1299,"Studio","Apartment"
"1827 N Meridian St, Indianapolis, IN 46202","2026/01/12",1499,"1 Bed","Apartment"
"1827 N Meridian St, Indianapolis, IN 46202","2026/01/12",1699,"2 Beds","Apartment"
"2801 S Pennsylvania St, Indianapolis, IN 46225","2026/01/12",1199,"Studio","Apartment"
"2801 S Pennsylvania St, Indianapolis, IN 46225","2026/01/12",1299,"1 Bed","Apartment"
"2801 S Pennsylvania St, Indianapolis, IN 46225","2026/01/12",1599,"2 Beds","Apartment"
"9433 Avant Ave, Indianapolis, IN 46240","2026/01/12",1148,"Studio","Apartment"
"9433 Avant Ave, Indianapolis, IN 46240","2026/01/12",1449,"1 Bed","Apartment"
"9433 Avant Ave, Indianapolis, IN 46240","2026/01/12",1735,"2 Beds+","Apartment"
"8320 Spyglass Dr, Indianapolis, IN 46260","2026/01/12",1020,"1 Bed","Apartment"
"8320 Spyglass Dr, Indianapolis, IN 46260","2026/01/12",1415,"2 Beds","Apartment"
"8320 Spyglass Dr, Indianapolis, IN 46260","2026/01/12",1765,"3 Beds","Apartment"
"5421 Calder Way, Indianapolis, IN 46226","2026/01/12",1059,"1 Bed","Apartment"
"5421 Calder Way, Indianapolis, IN 46226","2026/01/12",1059,"2 Beds","Apartment"
"3833 Wind Drift Dr, Indianapolis, IN 46254","2026/01/12",1005,"1 Bed","Apartment"
"3833 Wind Drift Dr, Indianapolis, IN 46254","2026/01/12",1340,"2 Beds","Apartment"
"3833 Wind Drift Dr, Indianapolis, IN 46254","2026/01/12",1770,"3 Beds","Apartment"
"4656 Edwardian Cir, Indianapolis, IN 46254","2026/01/12",860,"1 Bed","Apartment"
"4656 Edwardian Cir, Indianapolis, IN 46254","2026/01/12",1095,"2 Beds","Apartment"
"4656 Edwardian Cir, Indianapolis, IN 46254","2026/01/12",1700,"3 Beds","Apartment"
"8760 LeMode Ct, Indianapolis, IN 46268","2026/01/12",1075,"1 Bed","Apartment"
"8760 LeMode Ct, Indianapolis, IN 46268","2026/01/12",1265,"2 Beds","Apartment"
"8380 Whipporwill Dr, Indianapolis, IN 46256","2026/01/12",1065,"1 Bed","Apartment"
"8380 Whipporwill Dr, Indianapolis, IN 46256","2026/01/12",1199,"2 Beds","Apartment"
"4020 Monaco Dr, Indianapolis, IN 46220","2026/01/12",999,"1 Bed","Apartment"
"4020 Monaco Dr, Indianapolis, IN 46220","2026/01/12",1212,"2 Beds","Apartment"
"4020 Monaco Dr, Indianapolis, IN 46220","2026/01/12",1440,"3 Beds","Apartment"
"3451 Sherburne Ln, Indianapolis, IN 46222","2026/01/12",1064,"1 Bed","Apartment"
"3451 Sherburne Ln, Indianapolis, IN 46222","2026/01/12",1149,"2 Beds","Apartment"
"3451 Sherburne Ln, Indianapolis, IN 46222","2026/01/12",1328,"3 Beds","Apartment"
"4061 Eagle Roost Dr, Indianapolis, IN 46234","2026/01/12",1053,"1 Bed","Apartment"
"4061 Eagle Roost Dr, Indianapolis, IN 46234","2026/01/12",1145,"2 Beds","Apartment"
"4061 Eagle Roost Dr, Indianapolis, IN 46234","2026/01/12",1528,"3 Beds","Apartment"
"1844 Pemberton Ln, Indianapolis, IN 46260","2026/01/12",1469,"3 Beds",NA
"4651 Mimi Dr, Indianapolis, IN 46237","2026/01/12",919,"Studio","Apartment"
"4651 Mimi Dr, Indianapolis, IN 46237","2026/01/12",1049,"1 Bed","Apartment"
"4651 Mimi Dr, Indianapolis, IN 46237","2026/01/12",1174,"2 Beds+","Apartment"
"310 W Michigan St, Indianapolis, IN 46202","2026/01/12",1421,"Studio","Apartment"
"310 W Michigan St, Indianapolis, IN 46202","2026/01/12",1521,"1 Bed","Apartment"
"310 W Michigan St, Indianapolis, IN 46202","2026/01/12",2135,"2 Beds","Apartment"
"5480 Michigan Rd, Indianapolis, IN 46228","2026/01/12",1099,"1 Bed","Apartment"
"5480 Michigan Rd, Indianapolis, IN 46228","2026/01/12",1399,"2 Beds","Apartment"
"5480 Michigan Rd, Indianapolis, IN 46228","2026/01/12",1799,"3 Beds","Apartment"
"1225 W Park Way, Indianapolis, IN 46214","2026/01/12",1050,"1 Bed","Apartment"
"1225 W Park Way, Indianapolis, IN 46214","2026/01/12",1250,"2 Beds","Apartment"
"1225 W Park Way, Indianapolis, IN 46214","2026/01/12",1450,"3 Beds","Apartment"
"8101 Laguna Dr, Indianapolis, IN 46260","2026/01/12",1059,"Studio","Apartment"
"8101 Laguna Dr, Indianapolis, IN 46260","2026/01/12",1149,"1 Bed","Apartment"
"8101 Laguna Dr, Indianapolis, IN 46260","2026/01/12",1299,"2 Beds+","Apartment"
"8401 Boggs Creek Dr, Indianapolis, IN 46237","2026/01/12",949,"1 Bed","Apartment"
"8401 Boggs Creek Dr, Indianapolis, IN 46237","2026/01/12",994,"2 Beds","Apartment"
"8401 Boggs Creek Dr, Indianapolis, IN 46237","2026/01/12",1772,"3 Beds","Apartment"
"4620 Englewood Ave, Indianapolis, IN 46226","2026/01/12",1050,"2 Beds","Apartment"
"4620 Englewood Ave, Indianapolis, IN 46226","2026/01/12",1450,"3 Beds","Apartment"
"3717 Piermont Dr, Indianapolis, IN 46227","2026/01/12",1129,"1 Bed","Apartment"
"3717 Piermont Dr, Indianapolis, IN 46227","2026/01/12",1345,"2 Beds","Apartment"
"6789 S East St, Indianapolis, IN 46227","2026/01/12",999,"1 Bed","Apartment"
