"Address","Date","Rent","Aprt_Type","Building_Type"
"7618 N Decatur Blvd, North Las Vegas, NV 89084","2026/02/02",1616,"1 Bed","Apartment"
"7618 N Decatur Blvd, North Las Vegas, NV 89084","2026/02/02",2061,"2 Beds","Apartment"
"7618 N Decatur Blvd, North Las Vegas, NV 89084","2026/02/02",2400,"3 Beds","Apartment"
"1330 E Reno Ave, Las Vegas, NV 89119","2026/02/02",1247,"1 Bed","Apartment"
"1330 E Reno Ave, Las Vegas, NV 89119","2026/02/02",1506,"2 Beds","Apartment"
"5711 W Tropicana Ave, Las Vegas, NV 89103","2026/02/02",1316,"1 Bed","Apartment"
"5711 W Tropicana Ave, Las Vegas, NV 89103","2026/02/02",1536,"2 Beds","Apartment"
"5711 W Tropicana Ave, Las Vegas, NV 89103","2026/02/02",1891,"3 Beds","Apartment"
"4201 W Rochelle Ave, Las Vegas, NV 89103","2026/02/02",1244,"1 Bed","Apartment"
"4201 W Rochelle Ave, Las Vegas, NV 89103","2026/02/02",1374,"2 Beds","Apartment"
"4650 W Oakey Blvd, Las Vegas, NV 89102","2026/02/02",1113,"1 Bed","Apartment"
"4650 W Oakey Blvd, Las Vegas, NV 89102","2026/02/02",1413,"2 Beds","Apartment"
"3240 Las Vegas Blvd N, Las Vegas, NV 89115","2026/02/02",1116,"1 Bed","Apartment"
"3240 Las Vegas Blvd N, Las Vegas, NV 89115","2026/02/02",1301,"2 Beds","Apartment"
"3240 Las Vegas Blvd N, Las Vegas, NV 89115","2026/02/02",1451,"3 Beds+","Apartment"
"12656 Southern Highlands Pky, Las Vegas, NV 89141","2026/02/02",1615,"Studio","Apartment"
"12656 Southern Highlands Pky, Las Vegas, NV 89141","2026/02/02",1840,"1 Bed","Apartment"
"12656 Southern Highlands Pky, Las Vegas, NV 89141","2026/02/02",2045,"2 Beds","Apartment"
"2705 N Rancho Dr, Las Vegas, NV 89130","2026/02/02",2110,"2 Beds","Apartment"
"2705 N Rancho Dr, Las Vegas, NV 89130","2026/02/02",2430,"3 Beds","Apartment"
"4350 Paradise Rd, Las Vegas, NV 89169","2026/02/02",825,"",NA
"8475 Michael Cherry Ave, Las Vegas, NV 89113","2026/02/02",2005,"Studio","Apartment"
"8475 Michael Cherry Ave, Las Vegas, NV 89113","2026/02/02",1879,"1 Bed","Apartment"
"8475 Michael Cherry Ave, Las Vegas, NV 89113","2026/02/02",2880,"2 Beds+","Apartment"
"8888 N Grand Canyon Dr, Las Vegas, NV 89166","2026/02/02",1660,"1 Bed","Apartment"
"8888 N Grand Canyon Dr, Las Vegas, NV 89166","2026/02/02",2104,"2 Beds","Apartment"
"8888 N Grand Canyon Dr, Las Vegas, NV 89166","2026/02/02",2505,"3 Beds","Apartment"
"6650 S Sandhill Rd, Las Vegas, NV 89120","2026/02/02",1250,"1 Bed","Apartment"
"6650 S Sandhill Rd, Las Vegas, NV 89120","2026/02/02",1500,"2 Beds","Apartment"
"6650 S Sandhill Rd, Las Vegas, NV 89120","2026/02/02",1800,"3 Beds","Apartment"
"3110 E Flamingo Rd, Las Vegas, NV 89121","2026/02/02",1110,"1 Bed","Apartment"
"3110 E Flamingo Rd, Las Vegas, NV 89121","2026/02/02",1365,"2 Beds","Apartment"
"9745 Grand Teton Dr, Las Vegas, NV 89166","2026/02/02",1524,"1 Bed","Apartment"
"9745 Grand Teton Dr, Las Vegas, NV 89166","2026/02/02",1509,"2 Beds","Apartment"
"9745 Grand Teton Dr, Las Vegas, NV 89166","2026/02/02",1814,"3 Beds","Apartment"
"4250 S Arville St, Las Vegas, NV 89103","2026/02/02",1242,"1 Bed","Apartment"
"4250 S Arville St, Las Vegas, NV 89103","2026/02/02",1327,"2 Beds","Apartment"
"5145 Rawhide St, Las Vegas, NV 89122","2026/02/02",1313,"1 Bed","Apartment"
"5145 Rawhide St, Las Vegas, NV 89122","2026/02/02",1428,"2 Beds","Apartment"
"5145 Rawhide St, Las Vegas, NV 89122","2026/02/02",1733,"3 Beds","Apartment"
"6901 E Lake Mead Blvd, Las Vegas, NV 89156","2026/02/02",1237,"1 Bed","Apartment"
"6901 E Lake Mead Blvd, Las Vegas, NV 89156","2026/02/02",1287,"2 Beds","Apartment"
"6901 E Lake Mead Blvd, Las Vegas, NV 89156","2026/02/02",1937,"3 Beds","Apartment"
"3295 Casey Dr, Las Vegas, NV 89120","2026/02/02",1107,"1 Bed","Apartment"
"3295 Casey Dr, Las Vegas, NV 89120","2026/02/02",1373,"2 Beds","Apartment"
"3295 Casey Dr, Las Vegas, NV 89120","2026/02/02",1728,"3 Beds","Apartment"
"6930 Paradise Rd, Las Vegas, NV 89119","2026/02/02",1250,"1 Bed","Apartment"
"6930 Paradise Rd, Las Vegas, NV 89119","2026/02/02",1485,"2 Beds","Apartment"
"6930 Paradise Rd, Las Vegas, NV 89119","2026/02/02",1750,"3 Beds","Apartment"
"7401 W Washington Ave, Las Vegas, NV 89128","2026/02/02",1350,"1 Bed","Apartment"
"7401 W Washington Ave, Las Vegas, NV 89128","2026/02/02",1575,"2 Beds","Apartment"
"7401 W Washington Ave, Las Vegas, NV 89128","2026/02/02",1895,"3 Beds","Apartment"
