"Address","Date","Rent","Aprt_Type","Building_Type"
"55 NE 2nd St, Miami, FL 33132","2026/07/07",2114,"Studio","Apartment"
"55 NE 2nd St, Miami, FL 33132","2026/07/07",2500,"1 Bed","Apartment"
"55 NE 2nd St, Miami, FL 33132","2026/07/07",4420,"2 Beds","Apartment"
"1455 NW 121st Ave, Miami, FL 33182","2026/07/07",2401,"Studio","Apartment"
"1455 NW 121st Ave, Miami, FL 33182","2026/07/07",2731,"1 Bed","Apartment"
"1455 NW 121st Ave, Miami, FL 33182","2026/07/07",3521,"2 Beds+","Apartment"
"1501 SW 37th Ave, Miami, FL 33145","2026/07/07",3200,"Studio","Apartment"
"1501 SW 37th Ave, Miami, FL 33145","2026/07/07",2800,"1 Bed","Apartment"
"1501 SW 37th Ave, Miami, FL 33145","2026/07/07",3500,"2 Beds","Apartment"
"9600 S Dixie Hwy, Miami, FL 33156","2026/07/07",2521,"Studio","Apartment"
"9600 S Dixie Hwy, Miami, FL 33156","2026/07/07",2315,"1 Bed","Apartment"
"9600 S Dixie Hwy, Miami, FL 33156","2026/07/07",3555,"2 Beds+","Apartment"
"61 NW 37th Ave, Miami, FL 33125","2026/07/07",1950,"Studio","Apartment"
"61 NW 37th Ave, Miami, FL 33125","2026/07/07",2350,"1 Bed","Apartment"
"61 NW 37th Ave, Miami, FL 33125","2026/07/07",2700,"2 Beds","Apartment"
"5700 Biscayne Blvd, Miami, FL 33137","2026/07/07",2520,"Studio","Apartment"
"5700 Biscayne Blvd, Miami, FL 33137","2026/07/07",2827,"1 Bed","Apartment"
"5700 Biscayne Blvd, Miami, FL 33137","2026/07/07",3593,"2 Beds","Apartment"
"330 Catalonia Ave, Coral Gables, FL 33134","2026/07/07",3305,"1 Bed","Apartment"
"330 Catalonia Ave, Coral Gables, FL 33134","2026/07/07",5298,"2 Beds","Apartment"
"330 Catalonia Ave, Coral Gables, FL 33134","2026/07/07",6938,"3 Beds","Apartment"
"1650 NE 124th St, North Miami, FL 33181","2026/07/07",2871,"Studio","Apartment"
"1650 NE 124th St, North Miami, FL 33181","2026/07/07",2919,"1 Bed","Apartment"
"1650 NE 124th St, North Miami, FL 33181","2026/07/07",3738,"2 Beds+","Apartment"
"2901 SW 69th Ct, Miami, FL 33155","2026/07/07",2325,"Studio","Apartment"
"2901 SW 69th Ct, Miami, FL 33155","2026/07/07",2642,"1 Bed","Apartment"
"2901 SW 69th Ct, Miami, FL 33155","2026/07/07",3290,"2 Beds+","Apartment"
"710 NE 1st Ave, Miami, FL 33132","2026/07/07",2530,"Studio","Apartment"
"710 NE 1st Ave, Miami, FL 33132","2026/07/07",3320,"1 Bed","Apartment"
"710 NE 1st Ave, Miami, FL 33132","2026/07/07",5000,"2 Beds","Apartment"
"3830 NW 11th St, Miami, FL 33126","2026/07/07",2416,"Studio","Apartment"
"3830 NW 11th St, Miami, FL 33126","2026/07/07",2696,"1 Bed","Apartment"
"3830 NW 11th St, Miami, FL 33126","2026/07/07",3111,"2 Beds","Apartment"
"9030 SW 158th Ave, Miami, FL 33196","2026/07/07",2435,"1 Bed","Apartment"
"9030 SW 158th Ave, Miami, FL 33196","2026/07/07",2680,"2 Beds","Apartment"
"9030 SW 158th Ave, Miami, FL 33196","2026/07/07",3565,"3 Beds","Apartment"
"15955 NW 6th Ave, Miami, FL 33169","2026/07/07",2280,"1 Bed","Apartment"
"15955 NW 6th Ave, Miami, FL 33169","2026/07/07",2719,"2 Beds","Apartment"
"15955 NW 6th Ave, Miami, FL 33169","2026/07/07",3510,"3 Beds","Apartment"
NA,NA,NA,NA,NA
"275 SW 6th St, Miami, FL 33130","2026/07/07",2790,"Studio","Apartment"
"275 SW 6th St, Miami, FL 33130","2026/07/07",3202,"1 Bed","Apartment"
"275 SW 6th St, Miami, FL 33130","2026/07/07",4048,"2 Beds+","Apartment"
"4301 NW 7th St, Miami, FL 33126","2026/07/07",2400,"Studio","Apartment"
"4301 NW 7th St, Miami, FL 33126","2026/07/07",2550,"1 Bed","Apartment"
"4301 NW 7th St, Miami, FL 33126","2026/07/07",2850,"2 Beds+","Apartment"
"12 NE 188th St, Miami, FL 33179","2026/07/07",1550,"1 Bed","Apartment"
"12 NE 188th St, Miami, FL 33179","2026/07/07",1850,"2 Beds","Apartment"
"8960 SW 122nd Ave, Miami, FL 33186","2026/07/07",1720,"Studio","Apartment"
"8960 SW 122nd Ave, Miami, FL 33186","2026/07/07",1935,"1 Bed","Apartment"
"8960 SW 122nd Ave, Miami, FL 33186","2026/07/07",2465,"2 Beds","Apartment"
"9517 Fontainebleau Blvd, Miami, FL 33172","2026/07/07",1839,"Studio","Apartment"
"9517 Fontainebleau Blvd, Miami, FL 33172","2026/07/07",1938,"1 Bed","Apartment"
"9517 Fontainebleau Blvd, Miami, FL 33172","2026/07/07",2200,"2 Beds+","Apartment"
"10605-10651 Hammocks Blvd, Miami, FL 33196","2026/07/07",2025,"1 Bed","Apartment"
