"Address","Date","Rent","Aprt_Type","Building_Type"
"650 Portland Ave S, Minneapolis, MN 55415","2026/03/02",1502,"Studio","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/03/02",1516,"1 Bed","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/03/02",2669,"2 Beds","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/03/02",1779,"Studio","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/03/02",2024,"1 Bed","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/03/02",2739,"2 Beds+","Apartment"
"2428 Delaware St, Minneapolis, MN 55414","2026/03/02",1350,"Studio","Apartment"
"2428 Delaware St, Minneapolis, MN 55414","2026/03/02",1460,"1 Bed","Apartment"
"2428 Delaware St, Minneapolis, MN 55414","2026/03/02",845,"2 Beds","Apartment"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"816 Portland Ave S, Minneapolis, MN 55404","2026/03/02",1351,"Studio","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/03/02",1382,"1 Bed","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/03/02",2291,"2 Beds+","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/03/02",1300,"Studio","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/03/02",1496,"1 Bed","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/03/02",1778,"2 Beds","Apartment"
"2851 Hennepin Ave, Minneapolis, MN 55408","2026/03/02",1546,"Studio","Apartment"
"2851 Hennepin Ave, Minneapolis, MN 55408","2026/03/02",1641,"1 Bed","Apartment"
"2851 Hennepin Ave, Minneapolis, MN 55408","2026/03/02",2236,"2 Beds","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/03/02",1367,"Studio","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/03/02",1657,"1 Bed","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/03/02",1976,"2 Beds+","Apartment"
"2850 N Wayzata Blvd, Minneapolis, MN 55405","2026/03/02",1638,"1 Bed","Apartment"
"2850 N Wayzata Blvd, Minneapolis, MN 55405","2026/03/02",2243,"2 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/03/02",849,"2 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/03/02",669,"3 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/03/02",599,"4 Beds","Apartment"
"2401 Chicago Ave, Minneapolis, MN 55404","2026/03/02",1050,"Studio","Apartment"
"2401 Chicago Ave, Minneapolis, MN 55404","2026/03/02",1410,"1 Bed","Apartment"
"2401 Chicago Ave, Minneapolis, MN 55404","2026/03/02",1670,"2 Beds","Apartment"
"770 Xenia Ave S, Minneapolis, MN 55416","2026/03/02",1550,"1 Bed","Apartment"
"770 Xenia Ave S, Minneapolis, MN 55416","2026/03/02",2465,"2 Beds","Apartment"
"240 Park Ave, Minneapolis, MN 55415","2026/03/02",1600,"1 Bed","Apartment"
"240 Park Ave, Minneapolis, MN 55415","2026/03/02",2250,"2 Beds","Apartment"
