"Address","Date","Rent","Aprt_Type","Building_Type"
"700 NW 4th St, Oklahoma City, OK 73102","2026/03/02",1069,"Studio","Apartment"
"700 NW 4th St, Oklahoma City, OK 73102","2026/03/02",1195,"1 Bed","Apartment"
"700 NW 4th St, Oklahoma City, OK 73102","2026/03/02",1625,"2 Beds","Apartment"
"9516 S Shields Blvd, Moore, OK 73160","2026/03/02",890,"1 Bed","Apartment"
"9516 S Shields Blvd, Moore, OK 73160","2026/03/02",1000,"2 Beds","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/03/02",1109,"1 Bed","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/03/02",1309,"2 Beds","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/03/02",1689,"3 Beds","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/03/02",1320,"1 Bed","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/03/02",1445,"2 Beds","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/03/02",2215,"3 Beds","Apartment"
"2904 Treight Creek Ln, Midwest City, OK 73110","2026/03/02",1495,"3 Beds",NA
"5200 Oak St, Oklahoma City, OK 73112","2026/03/02",1578,"Studio","Apartment"
"5200 Oak St, Oklahoma City, OK 73112","2026/03/02",1732,"1 Bed","Apartment"
"5200 Oak St, Oklahoma City, OK 73112","2026/03/02",2361,"2 Beds+","Apartment"
"14600 N Rockwell Ave, Oklahoma City, OK 73142","2026/03/02",865,"1 Bed","Apartment"
"14600 N Rockwell Ave, Oklahoma City, OK 73142","2026/03/02",1130,"2 Beds","Apartment"
"5314 Willow Cliff Rd, Oklahoma City, OK 73122","2026/03/02",847,"1 Bed","Apartment"
"5314 Willow Cliff Rd, Oklahoma City, OK 73122","2026/03/02",954,"2 Beds","Apartment"
"5314 Willow Cliff Rd, Oklahoma City, OK 73122","2026/03/02",1154,"3 Beds","Apartment"
"8557 Candlewood Dr, Oklahoma City, OK 73132","2026/03/02",815,"1 Bed","Apartment"
"8557 Candlewood Dr, Oklahoma City, OK 73132","2026/03/02",1025,"2 Beds","Apartment"
"8557 Candlewood Dr, Oklahoma City, OK 73132","2026/03/02",1275,"3 Beds+","Apartment"
"11141 Springhollow Rd, Oklahoma City, OK 73120","2026/03/02",1024,"1 Bed","Apartment"
"11141 Springhollow Rd, Oklahoma City, OK 73120","2026/03/02",1099,"2 Beds","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/03/02",995,"1 Bed","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/03/02",1199,"2 Beds","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/03/02",1775,"3 Beds","Apartment"
"700 NE 122nd St, Oklahoma City, OK 73114","2026/03/02",875,"1 Bed","Apartment"
"700 NE 122nd St, Oklahoma City, OK 73114","2026/03/02",995,"2 Beds","Apartment"
"900 NE 122nd St, Oklahoma City, OK 73114","2026/03/02",915,"1 Bed","Apartment"
"900 NE 122nd St, Oklahoma City, OK 73114","2026/03/02",1085,"2 Beds","Apartment"
"140 N Park Ave, Oklahoma City, OK 73102","2026/03/02",1755,"Studio","Apartment"
"140 N Park Ave, Oklahoma City, OK 73102","2026/03/02",1996,"1 Bed","Apartment"
"140 N Park Ave, Oklahoma City, OK 73102","2026/03/02",3635,"2 Beds+","Apartment"
"6929 S Sooner Rd, Oklahoma City, OK 73135","2026/03/02",1190,"1 Bed","Apartment"
"6929 S Sooner Rd, Oklahoma City, OK 73135","2026/03/02",1335,"2 Beds","Apartment"
"6929 S Sooner Rd, Oklahoma City, OK 73135","2026/03/02",1750,"3 Beds","Apartment"
"4545 N Lincoln Blvd, Oklahoma City, OK 73105","2026/03/02",840,"Studio","Apartment"
"4545 N Lincoln Blvd, Oklahoma City, OK 73105","2026/03/02",1120,"1 Bed","Apartment"
"4545 N Lincoln Blvd, Oklahoma City, OK 73105","2026/03/02",1350,"2 Beds","Apartment"
"10333 W Reno Ave, Oklahoma City, OK 73127","2026/03/02",975,"Studio","Apartment"
"10333 W Reno Ave, Oklahoma City, OK 73127","2026/03/02",1100,"1 Bed","Apartment"
"10333 W Reno Ave, Oklahoma City, OK 73127","2026/03/02",1395,"2 Beds","Apartment"
"8500 N Oklahoma Ave, Oklahoma City, OK 73114","2026/03/02",1160,"Studio","Apartment"
"8500 N Oklahoma Ave, Oklahoma City, OK 73114","2026/03/02",1430,"1 Bed","Apartment"
"8500 N Oklahoma Ave, Oklahoma City, OK 73114","2026/03/02",2000,"2 Beds+","Apartment"
"101 N Broadway Ave, Oklahoma City, OK 73102","2026/03/02",1075,"2 Beds+",NA
"901 Hangar Dr, Oklahoma City, OK 73108","2026/03/02",1200,"Studio","Apartment"
"901 Hangar Dr, Oklahoma City, OK 73108","2026/03/02",1380,"1 Bed","Apartment"
"901 Hangar Dr, Oklahoma City, OK 73108","2026/03/02",1720,"2 Beds","Apartment"
"14712 Mezzaluna Blvd, Oklahoma City, OK 73134","2026/03/02",1440,"1 Bed","Apartment"
"14712 Mezzaluna Blvd, Oklahoma City, OK 73134","2026/03/02",1650,"2 Beds","Apartment"
"11239 N Pennsylvania Ave, Oklahoma City, OK 73120","2026/03/02",930,"1 Bed","Apartment"
"11239 N Pennsylvania Ave, Oklahoma City, OK 73120","2026/03/02",1055,"2 Beds","Apartment"
"1201 Covell Village Dr, Edmond, OK 73003","2026/03/02",1231,"1 Bed","Apartment"
"1201 Covell Village Dr, Edmond, OK 73003","2026/03/02",1221,"2 Beds","Apartment"
"1201 Covell Village Dr, Edmond, OK 73003","2026/03/02",2126,"3 Beds","Apartment"
"12600 NW 10th St, Yukon, OK 73099","2026/03/02",1150,"1 Bed","Apartment"
"12600 NW 10th St, Yukon, OK 73099","2026/03/02",1425,"2 Beds","Apartment"
"12401-12401 N MacArthur Blvd, Oklahoma City, OK 73142","2026/03/02",836,"Studio","Apartment"
"12401-12401 N MacArthur Blvd, Oklahoma City, OK 73142","2026/03/02",826,"1 Bed","Apartment"
"12401-12401 N MacArthur Blvd, Oklahoma City, OK 73142","2026/03/02",1150,"2 Beds+","Apartment"
"835 W Sheridan Ave, Oklahoma City, OK 73106","2026/03/02",936,"Studio","Apartment"
"835 W Sheridan Ave, Oklahoma City, OK 73106","2026/03/02",1230,"1 Bed","Apartment"
"835 W Sheridan Ave, Oklahoma City, OK 73106","2026/03/02",1906,"2 Beds+","Apartment"
"12500 S Western Ave, Oklahoma City, OK 73170","2026/03/02",955,"1 Bed","Apartment"
"12500 S Western Ave, Oklahoma City, OK 73170","2026/03/02",1025,"2 Beds","Apartment"
"200 N Harvey Ave, Oklahoma City, OK 73102","2026/03/02",970,"Studio","Apartment"
"200 N Harvey Ave, Oklahoma City, OK 73102","2026/03/02",1250,"1 Bed","Apartment"
"200 N Harvey Ave, Oklahoma City, OK 73102","2026/03/02",1400,"2 Beds","Apartment"
