"","Address","Date","Rent","Aprt_Type","Building_Type"
"1","1985-1988 NW Savier St, Portland, OR 97209","2026/01/01",1349,"Studio","Apartment"
"2","1985-1988 NW Savier St, Portland, OR 97209","2026/01/01",1710,"1 Bed","Apartment"
"3","1985-1988 NW Savier St, Portland, OR 97209","2026/01/01",3010,"2 Beds","Apartment"
"4","5620 N Interstate Ave, Portland, OR 97217","2026/01/01",1050,"Studio","Apartment"
"5","5620 N Interstate Ave, Portland, OR 97217","2026/01/01",1725,"2 Beds","Apartment"
"6","2180 NE 47th Ave, Portland, OR 97213","2026/01/01",999,"2 Beds",NA
"7","1784 NW Northrup St, Portland, OR 97209","2026/01/01",1520,"Studio","Apartment"
"8","1784 NW Northrup St, Portland, OR 97209","2026/01/01",1675,"1 Bed","Apartment"
"9","1784 NW Northrup St, Portland, OR 97209","2026/01/01",2599,"2 Beds","Apartment"
"10","110 N Tomahawk Island Dr, Portland, OR 97217","2026/01/01",1327,"1 Bed","Apartment"
"11","110 N Tomahawk Island Dr, Portland, OR 97217","2026/01/01",1675,"2 Beds","Apartment"
"12","1640 SW Yamhill St, Portland, OR 97205","2026/01/01",1565,"Studio","Apartment"
"13","1640 SW Yamhill St, Portland, OR 97205","2026/01/01",1840,"1 Bed","Apartment"
"14","1640 SW Yamhill St, Portland, OR 97205","2026/01/01",3455,"2 Beds","Apartment"
"15","3260 SE Milwaukie Ave, Portland, OR 97202","2026/01/01",1355,"Studio","Apartment"
"16","3260 SE Milwaukie Ave, Portland, OR 97202","2026/01/01",1594,"1 Bed","Apartment"
"17","3260 SE Milwaukie Ave, Portland, OR 97202","2026/01/01",1593,"2 Beds+","Apartment"
"18","5460 N Interstate Ave, Portland, OR 97217","2026/01/01",1000,"Studio","Apartment"
"19","5460 N Interstate Ave, Portland, OR 97217","2026/01/01",1250,"1 Bed","Apartment"
"20","900 NW Lovejoy St, Portland, OR 97209","2026/01/01",1740,"1 Bed","Apartment"
"21","900 NW Lovejoy St, Portland, OR 97209","2026/01/01",2600,"2 Beds","Apartment"
"22","8338 N Interstate Ave, Portland, OR 97217","2026/01/01",1399,"2 Beds",NA
"23","750 SW 9th Ave, Portland, OR 97205","2026/01/01",1550,"Studio","Apartment"
"24","750 SW 9th Ave, Portland, OR 97205","2026/01/01",1650,"1 Bed","Apartment"
"25","750 SW 9th Ave, Portland, OR 97205","2026/01/01",2531,"2 Beds","Apartment"
"26","1061 NE 9th Ave, Portland, OR 97232","2026/01/01",1101,"Studio","Apartment"
"27","1061 NE 9th Ave, Portland, OR 97232","2026/01/01",1416,"1 Bed","Apartment"
"28","1061 NE 9th Ave, Portland, OR 97232","2026/01/01",1946,"2 Beds+","Apartment"
"29","22 NE 2nd Ave, Portland, OR 97232","2026/01/01",1551,"Studio","Apartment"
"30","22 NE 2nd Ave, Portland, OR 97232","2026/01/01",1550,"1 Bed","Apartment"
"31","22 NE 2nd Ave, Portland, OR 97232","2026/01/01",2500,"2 Beds","Apartment"
"32","6015 N Interstate Ave, Portland, OR 97217","2026/01/01",1179,"Studio","Apartment"
"33","6015 N Interstate Ave, Portland, OR 97217","2026/01/01",1387,"1 Bed","Apartment"
"34","2070 NW Quimby St, Portland, OR 97209","2026/01/01",1290,"Studio","Apartment"
"35","2070 NW Quimby St, Portland, OR 97209","2026/01/01",1721,"1 Bed","Apartment"
"36","2070 NW Quimby St, Portland, OR 97209","2026/01/01",2059,"2 Beds","Apartment"
"37","3650 SE 29th Ave, Portland, OR 97202","2026/01/01",1499,"1 Bed","Apartment"
"38","3650 SE 29th Ave, Portland, OR 97202","2026/01/01",1799,"2 Beds","Apartment"
"39","3650 SE 29th Ave, Portland, OR 97202","2026/01/01",2499,"3 Beds","Apartment"
"40","10999 SE 37th Ave, Milwaukie, OR 97222","2026/01/01",1510,"Studio","Apartment"
"41","10999 SE 37th Ave, Milwaukie, OR 97222","2026/01/01",1625,"1 Bed","Apartment"
"42","10999 SE 37th Ave, Milwaukie, OR 97222","2026/01/01",2139,"2 Beds+","Apartment"
"43","7007 SW Hampton St, Tigard, OR 97223","2026/01/01",1849,"Studio","Apartment"
"44","7007 SW Hampton St, Tigard, OR 97223","2026/01/01",1799,"1 Bed","Apartment"
"45","7007 SW Hampton St, Tigard, OR 97223","2026/01/01",2449,"2 Beds","Apartment"
"46","8376 SW Pfaffle St, Tigard, OR 97223","2026/01/01",1615,"1 Bed","Apartment"
"47","8376 SW Pfaffle St, Tigard, OR 97223","2026/01/01",1895,"2 Beds","Apartment"
"48","1111 W Columbia Way, Vancouver, WA 98660","2026/01/01",1699,"Studio","Apartment"
"49","1111 W Columbia Way, Vancouver, WA 98660","2026/01/01",1799,"1 Bed","Apartment"
"50","1111 W Columbia Way, Vancouver, WA 98660","2026/01/01",3325,"2 Beds","Apartment"
"51","2865 NE Sandy Blvd, Portland, OR 97232","2026/01/01",1367,"Studio","Apartment"
"52","2865 NE Sandy Blvd, Portland, OR 97232","2026/01/01",1322,"1 Bed","Apartment"
"53","1075 NW 16th St, Portland, OR 97209","2026/01/01",999,"Studio","Apartment"
"54","1075 NW 16th St, Portland, OR 97209","2026/01/01",1225,"1 Bed","Apartment"
"55","2121 NW Savier St, Portland, OR 97210","2026/01/01",1322,"Studio","Apartment"
"56","2121 NW Savier St, Portland, OR 97210","2026/01/01",1742,"1 Bed","Apartment"
"57","2121 NW Savier St, Portland, OR 97210","2026/01/01",2712,"2 Beds","Apartment"
"58","514 SE Belmont St, Portland, OR 97214","2026/01/01",1224,"Studio","Apartment"
"59","514 SE Belmont St, Portland, OR 97214","2026/01/01",1450,"1 Bed","Apartment"
"60","514 SE Belmont St, Portland, OR 97214","2026/01/01",2625,"2 Beds","Apartment"
"61","1055 N Anchor Way, Portland, OR 97217","2026/01/01",1399,"1 Bed","Apartment"
"62","1055 N Anchor Way, Portland, OR 97217","2026/01/01",2317,"2 Beds","Apartment"
"63","255 NW 10th Ave, Portland, OR 97209","2026/01/01",1374,"Studio","Apartment"
"64","255 NW 10th Ave, Portland, OR 97209","2026/01/01",1409,"1 Bed","Apartment"
"65","255 NW 10th Ave, Portland, OR 97209","2026/01/01",2558,"2 Beds","Apartment"
"66","5 SE Martin Luther King Jr Blvd, Portland, OR 97214","2026/01/01",1627,"Studio","Apartment"
"67","5 SE Martin Luther King Jr Blvd, Portland, OR 97214","2026/01/01",2397,"1 Bed","Apartment"
"68","5 SE Martin Luther King Jr Blvd, Portland, OR 97214","2026/01/01",2999,"2 Beds","Apartment"
"69","1905 NW 23rd Ave, Portland, OR 97210","2026/01/01",1614,"1 Bed","Apartment"
"70","1905 NW 23rd Ave, Portland, OR 97210","2026/01/01",2429,"2 Beds","Apartment"
"71","1430 NW Hoyt St, Portland, OR 97209","2026/01/01",1400,"Studio","Apartment"
"72","1430 NW Hoyt St, Portland, OR 97209","2026/01/01",1644,"1 Bed","Apartment"
"73","1430 NW Hoyt St, Portland, OR 97209","2026/01/01",2775,"2 Beds","Apartment"
"74","140 SW Columbia St, Portland, OR 97201","2026/01/01",1503,"Studio","Apartment"
"75","140 SW Columbia St, Portland, OR 97201","2026/01/01",1575,"1 Bed","Apartment"
"76","140 SW Columbia St, Portland, OR 97201","2026/01/01",2739,"2 Beds","Apartment"
"77","3956 N Vancouver Ave, Portland, OR 97227","2026/01/01",1549,"Studio","Apartment"
"78","3956 N Vancouver Ave, Portland, OR 97227","2026/01/01",1389,"1 Bed","Apartment"
