"Address","Date","Rent","Aprt_Type","Building_Type"
"1985-1988 NW Savier St, Portland, OR 97209","2026/06/02",1504,"Studio","Apartment"
"1985-1988 NW Savier St, Portland, OR 97209","2026/06/02",1785,"1 Bed","Apartment"
"1985-1988 NW Savier St, Portland, OR 97209","2026/06/02",2915,"2 Beds","Apartment"
"110 N Tomahawk Island Dr, Portland, OR 97217","2026/06/02",1396,"1 Bed","Apartment"
"110 N Tomahawk Island Dr, Portland, OR 97217","2026/06/02",1675,"2 Beds","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/06/02",1625,"Studio","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/06/02",1499,"1 Bed","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/06/02",2795,"2 Beds","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/06/02",1277,"Studio","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/06/02",1546,"1 Bed","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/06/02",2350,"2 Beds","Apartment"
"6015 N Interstate Ave, Portland, OR 97217","2026/06/02",1285,"Studio","Apartment"
"6015 N Interstate Ave, Portland, OR 97217","2026/06/02",1683,"1 Bed","Apartment"
"6015 N Interstate Ave, Portland, OR 97217","2026/06/02",2773,"2 Beds","Apartment"
"2070 NW Quimby St, Portland, OR 97209","2026/06/02",1290,"Studio","Apartment"
"2070 NW Quimby St, Portland, OR 97209","2026/06/02",1816,"1 Bed","Apartment"
"2070 NW Quimby St, Portland, OR 97209","2026/06/02",2174,"2 Beds","Apartment"
"1630 SE Rural St, Portland, OR 97202","2026/06/02",1347,"Studio","Apartment"
"1630 SE Rural St, Portland, OR 97202","2026/06/02",1698,"1 Bed","Apartment"
"3650 SE 29th Ave, Portland, OR 97202","2026/06/02",1485,"1 Bed",NA
"5620 N Interstate Ave, Portland, OR 97217","2026/06/02",1049,"Studio","Apartment"
"5620 N Interstate Ave, Portland, OR 97217","2026/06/02",1675,"2 Beds","Apartment"
"1784 NW Northrup St, Portland, OR 97209","2026/06/02",1449,"Studio","Apartment"
"1784 NW Northrup St, Portland, OR 97209","2026/06/02",2025,"1 Bed","Apartment"
"1784 NW Northrup St, Portland, OR 97209","2026/06/02",2649,"2 Beds","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/06/02",1530,"Studio","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/06/02",1935,"1 Bed","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/06/02",3405,"2 Beds","Apartment"
"900 NW Lovejoy St, Portland, OR 97209","2026/06/02",1740,"1 Bed","Apartment"
"900 NW Lovejoy St, Portland, OR 97209","2026/06/02",2600,"2 Beds","Apartment"
"3202 SE 92nd Ave, Portland, OR 97266","2026/06/02",1395,"2 Beds",NA
"12345 SE Fuller Rd, Portland, OR 97222","2026/06/02",1395,"2 Beds",NA
"750 SW 9th Ave, Portland, OR 97205","2026/06/02",1466,"Studio","Apartment"
"750 SW 9th Ave, Portland, OR 97205","2026/06/02",1713,"1 Bed","Apartment"
"750 SW 9th Ave, Portland, OR 97205","2026/06/02",2743,"2 Beds","Apartment"
"10999 SE 37th Ave, Milwaukie, OR 97222","2026/06/02",1460,"Studio","Apartment"
"10999 SE 37th Ave, Milwaukie, OR 97222","2026/06/02",1649,"1 Bed","Apartment"
"10999 SE 37th Ave, Milwaukie, OR 97222","2026/06/02",2139,"2 Beds+","Apartment"
"7007 SW Hampton St, Tigard, OR 97223","2026/06/02",2199,"1 Bed","Apartment"
"7007 SW Hampton St, Tigard, OR 97223","2026/06/02",2599,"2 Beds","Apartment"
"2059 SW Park Ave, Portland, OR 97201","2026/06/02",999,"2 Beds",NA
"1818 SW 4th Ave, Portland, OR 97201","2026/06/02",1214,"Studio","Apartment"
"1818 SW 4th Ave, Portland, OR 97201","2026/06/02",1605,"1 Bed","Apartment"
"1818 SW 4th Ave, Portland, OR 97201","2026/06/02",1999,"2 Beds+","Apartment"
"514 SE Belmont St, Portland, OR 97214","2026/06/02",1330,"Studio","Apartment"
"514 SE Belmont St, Portland, OR 97214","2026/06/02",1509,"1 Bed","Apartment"
"514 SE Belmont St, Portland, OR 97214","2026/06/02",2334,"2 Beds","Apartment"
"1055 N Anchor Way, Portland, OR 97217","2026/06/02",1375,"1 Bed","Apartment"
"1055 N Anchor Way, Portland, OR 97217","2026/06/02",1900,"2 Beds","Apartment"
"1430 NW Hoyt St, Portland, OR 97209","2026/06/02",1381,"Studio","Apartment"
"1430 NW Hoyt St, Portland, OR 97209","2026/06/02",1718,"1 Bed","Apartment"
"1430 NW Hoyt St, Portland, OR 97209","2026/06/02",3143,"2 Beds","Apartment"
"140 SW Columbia St, Portland, OR 97201","2026/06/02",1411,"Studio","Apartment"
"140 SW Columbia St, Portland, OR 97201","2026/06/02",1724,"1 Bed","Apartment"
"140 SW Columbia St, Portland, OR 97201","2026/06/02",2611,"2 Beds","Apartment"
"3956 N Vancouver Ave, Portland, OR 97227","2026/06/02",1365,"Studio","Apartment"
"3956 N Vancouver Ave, Portland, OR 97227","2026/06/02",1504,"1 Bed","Apartment"
"3956 N Vancouver Ave, Portland, OR 97227","2026/06/02",2349,"2 Beds","Apartment"
"1510 SW Alder St, Portland, OR 97205","2026/06/02",1449,"1 Bed","Apartment"
"1510 SW Alder St, Portland, OR 97205","2026/06/02",2699,"2 Beds","Apartment"
"1725 SW Salmon St, Portland, OR 97205","2026/06/02",1406,"Studio","Apartment"
"1725 SW Salmon St, Portland, OR 97205","2026/06/02",1552,"1 Bed","Apartment"
"7128 NW 159th Ave, Portland, OR 97229","2026/06/02",1675,"1 Bed","Apartment"
"7128 NW 159th Ave, Portland, OR 97229","2026/06/02",1999,"2 Beds","Apartment"
"7128 NW 159th Ave, Portland, OR 97229","2026/06/02",2600,"3 Beds","Apartment"
"3883 S Moody Ave, Portland, OR 97239","2026/06/02",1295,"Studio","Apartment"
"3883 S Moody Ave, Portland, OR 97239","2026/06/02",1526,"1 Bed","Apartment"
"3883 S Moody Ave, Portland, OR 97239","2026/06/02",2394,"2 Beds","Apartment"
"1871 N Flint Ave, Portland, OR 97227","2026/06/02",1140,"Studio","Apartment"
"1871 N Flint Ave, Portland, OR 97227","2026/06/02",2395,"1 Bed","Apartment"
"1871 N Flint Ave, Portland, OR 97227","2026/06/02",2300,"2 Beds","Apartment"
"3720 SW Bond Ave, Portland, OR 97239","2026/06/02",1681,"Studio","Apartment"
"3720 SW Bond Ave, Portland, OR 97239","2026/06/02",1852,"1 Bed","Apartment"
"3720 SW Bond Ave, Portland, OR 97239","2026/06/02",3362,"2 Beds","Apartment"
"1155 NW Everett St, Portland, OR 97209","2026/06/02",1400,"Studio","Apartment"
"1155 NW Everett St, Portland, OR 97209","2026/06/02",1580,"1 Bed","Apartment"
"650 S Gaines St, Portland, OR 97239","2026/06/02",1589,"Studio","Apartment"
"650 S Gaines St, Portland, OR 97239","2026/06/02",1688,"1 Bed","Apartment"
"650 S Gaines St, Portland, OR 97239","2026/06/02",2709,"2 Beds","Apartment"
"1261 NW Overton St, Portland, OR 97209","2026/06/02",1589,"1 Bed","Apartment"
"1261 NW Overton St, Portland, OR 97209","2026/06/02",2297,"2 Beds","Apartment"
"1450 N Prescott St, Portland, OR 97217","2026/06/02",1379,"Studio","Apartment"
"1450 N Prescott St, Portland, OR 97217","2026/06/02",1485,"1 Bed","Apartment"
"1450 N Prescott St, Portland, OR 97217","2026/06/02",2430,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"1811 SW River Dr, Portland, OR 97201","2026/06/02",1275,"Studio","Apartment"
"1811 SW River Dr, Portland, OR 97201","2026/06/02",1699,"1 Bed","Apartment"
"1811 SW River Dr, Portland, OR 97201","2026/06/02",2299,"2 Beds+","Apartment"
"4940 S Landing Dr, Portland, OR 97239","2026/06/02",1345,"Studio","Apartment"
"4940 S Landing Dr, Portland, OR 97239","2026/06/02",1521,"1 Bed","Apartment"
"4940 S Landing Dr, Portland, OR 97239","2026/06/02",2075,"2 Beds","Apartment"
"434 SW College St, Portland, OR 97201","2026/06/02",1799,"1 Bed","Apartment"
"434 SW College St, Portland, OR 97201","2026/06/02",1099,"2 Beds","Apartment"
"434 SW College St, Portland, OR 97201","2026/06/02",899,"3 Beds+","Apartment"
"1061 NE 9th Ave, Portland, OR 97232","2026/06/02",1322,"Studio","Apartment"
"1061 NE 9th Ave, Portland, OR 97232","2026/06/02",1413,"1 Bed","Apartment"
"1061 NE 9th Ave, Portland, OR 97232","2026/06/02",2160,"2 Beds","Apartment"
"77 NE Grand Ave, Portland, OR 97232","2026/06/02",1254,"Studio","Apartment"
"77 NE Grand Ave, Portland, OR 97232","2026/06/02",1486,"1 Bed","Apartment"
"77 NE Grand Ave, Portland, OR 97232","2026/06/02",2290,"2 Beds","Apartment"
"878 N Fremont St, Portland, OR 97227","2026/06/02",1299,"Studio","Apartment"
"878 N Fremont St, Portland, OR 97227","2026/06/02",1699,"1 Bed","Apartment"
"878 N Fremont St, Portland, OR 97227","2026/06/02",2439,"2 Beds","Apartment"
"2621 NE 7th Ave, Portland, OR 97212","2026/06/02",1324,"Studio","Apartment"
"2621 NE 7th Ave, Portland, OR 97212","2026/06/02",1958,"2 Beds","Apartment"
"7428 N Charleston Ave, Portland, OR 97203","2026/06/02",1230,"2 Beds",NA
"2390 SE Hawthorne Blvd, Portland, OR 97214","2026/06/02",1399,"Studio","Apartment"
"2390 SE Hawthorne Blvd, Portland, OR 97214","2026/06/02",1375,"1 Bed","Apartment"
"310 SE 12th Ave, Portland, OR 97214","2026/06/02",1499,"1 Bed",NA
"8220 SE 6th Ave, Portland, OR 97202","2026/06/02",1550,"Studio","Apartment"
"8220 SE 6th Ave, Portland, OR 97202","2026/06/02",1775,"1 Bed","Apartment"
"2865 NE Sandy Blvd, Portland, OR 97232","2026/06/02",1302,"Studio","Apartment"
"2865 NE Sandy Blvd, Portland, OR 97232","2026/06/02",1901,"1 Bed","Apartment"
"1075 NW 16th St, Portland, OR 97209","2026/06/02",999,"Studio","Apartment"
"1075 NW 16th St, Portland, OR 97209","2026/06/02",1350,"1 Bed","Apartment"
"255 NW 10th Ave, Portland, OR 97209","2026/06/02",1553,"Studio","Apartment"
"255 NW 10th Ave, Portland, OR 97209","2026/06/02",1628,"1 Bed","Apartment"
"255 NW 10th Ave, Portland, OR 97209","2026/06/02",2359,"2 Beds","Apartment"
"4111 NE M L King Blvd, Portland, OR 97211","2026/06/02",1499,"1 Bed","Apartment"
"4111 NE M L King Blvd, Portland, OR 97211","2026/06/02",2106,"2 Beds","Apartment"
"465 NE Davis St, Portland, OR 97232","2026/06/02",1300,"Studio","Apartment"
"465 NE Davis St, Portland, OR 97232","2026/06/02",1570,"1 Bed","Apartment"
"465 NE Davis St, Portland, OR 97232","2026/06/02",2105,"2 Beds","Apartment"
"7373 N Philadelphia Ave, Portland, OR 97203","2026/06/02",1400,"Studio","Apartment"
"7373 N Philadelphia Ave, Portland, OR 97203","2026/06/02",1500,"1 Bed","Apartment"
"2065 S River Pky, Portland, OR 97201","2026/06/02",549,"Studio","Apartment"
"2065 S River Pky, Portland, OR 97201","2026/06/02",1260,"1 Bed","Apartment"
"2065 S River Pky, Portland, OR 97201","2026/06/02",1505,"2 Beds+","Apartment"
"10451 E Burnside St, Portland, OR 97216","2026/06/02",1222,"Studio","Apartment"
"10451 E Burnside St, Portland, OR 97216","2026/06/02",1289,"1 Bed","Apartment"
"10451 E Burnside St, Portland, OR 97216","2026/06/02",1543,"2 Beds","Apartment"
"875 NE 27th Ave, Portland, OR 97232","2026/06/02",1520,"Studio","Apartment"
"875 NE 27th Ave, Portland, OR 97232","2026/06/02",1605,"1 Bed","Apartment"
"1311 SW Gibbs St, Portland, OR 97239","2026/06/02",1300,"Studio","Apartment"
"1311 SW Gibbs St, Portland, OR 97239","2026/06/02",1425,"1 Bed","Apartment"
"1311 SW Gibbs St, Portland, OR 97239","2026/06/02",1995,"2 Beds","Apartment"
"1666 SE Lambert St, Portland, OR 97202","2026/06/02",2895,"2 Beds",NA
"1375 N Killingsworth St, Portland, OR 97217","2026/06/02",1099,"2 Beds",NA
"9224 SE Ramona St, Portland, OR 97266","2026/06/02",1375,"Studio","Apartment"
"9224 SE Ramona St, Portland, OR 97266","2026/06/02",1500,"1 Bed","Apartment"
"2510 NE Sandy Blvd, Portland, OR 97232","2026/06/02",1899,"1 Bed",NA
"5560 NE 42nd Ave, Portland, OR 97218","2026/06/02",1505,"1 Bed",NA
"7315-7325 SE Mitchell Ct, Portland, OR 97206","2026/06/02",1595,"1 Bed",NA
"4300 NW Chanticleer Dr, Portland, OR 97229","2026/06/02",1746,"1 Bed","Apartment"
"4300 NW Chanticleer Dr, Portland, OR 97229","2026/06/02",2142,"2 Beds","Apartment"
"4300 NW Chanticleer Dr, Portland, OR 97229","2026/06/02",2426,"3 Beds","Apartment"
"1912 NE Schuyler St, Portland, OR 97212","2026/06/02",1675,"3 Beds",NA
"1447 NW 12th Ave, Portland, OR 97209","2026/06/02",1599,"1 Bed","Apartment"
"1447 NW 12th Ave, Portland, OR 97209","2026/06/02",2519,"2 Beds","Apartment"
"1717 SW Park Ave, Portland, OR 97201","2026/06/02",1095,"Studio","Apartment"
"1717 SW Park Ave, Portland, OR 97201","2026/06/02",1176,"1 Bed","Apartment"
"1717 SW Park Ave, Portland, OR 97201","2026/06/02",1503,"2 Beds","Apartment"
"2625 E Burnside St, Portland, OR 97214","2026/06/02",1390,"Studio","Apartment"
"2625 E Burnside St, Portland, OR 97214","2026/06/02",1853,"1 Bed","Apartment"
"3124-3234 SE 136th Ave, Portland, OR 97236","2026/06/02",1297,"2 Beds","Apartment"
"3124-3234 SE 136th Ave, Portland, OR 97236","2026/06/02",1597,"3 Beds","Apartment"
"931 NW 11th Ave, Portland, OR 97209","2026/06/02",1442,"Studio","Apartment"
"931 NW 11th Ave, Portland, OR 97209","2026/06/02",1791,"1 Bed","Apartment"
"931 NW 11th Ave, Portland, OR 97209","2026/06/02",2680,"2 Beds","Apartment"
"1410 SW Broadway, Portland, OR 97201","2026/06/02",980,"2 Beds",NA
"1417 SW 10th Ave, Portland, OR 97201","2026/06/02",1050,"2 Beds",NA
"6971 NE 27th Ave, Portland, OR 97211","2026/06/02",941,"1 Bed","Apartment"
"6971 NE 27th Ave, Portland, OR 97211","2026/06/02",1428,"2 Beds","Apartment"
"1976 NW Pettygrove St, Portland, OR 97209","2026/06/02",1315,"Studio","Apartment"
"1976 NW Pettygrove St, Portland, OR 97209","2026/06/02",1400,"1 Bed","Apartment"
"5132 SW Slavin Rd, Portland, OR 97239","2026/06/02",1315,"1 Bed","Apartment"
"5132 SW Slavin Rd, Portland, OR 97239","2026/06/02",1585,"2 Beds","Apartment"
"5132 SW Slavin Rd, Portland, OR 97239","2026/06/02",2490,"3 Beds","Apartment"
"123 NW 12th Ave, Portland, OR 97209","2026/06/02",1799,"1 Bed","Apartment"
"123 NW 12th Ave, Portland, OR 97209","2026/06/02",2185,"2 Beds","Apartment"
"3750 S River Pky, Portland, OR 97239","2026/06/02",1601,"1 Bed","Apartment"
"3750 S River Pky, Portland, OR 97239","2026/06/02",2238,"2 Beds","Apartment"
"1200 NW Marshall St, Portland, OR 97209","2026/06/02",1424,"Studio","Apartment"
"1200 NW Marshall St, Portland, OR 97209","2026/06/02",1761,"1 Bed","Apartment"
"1200 NW Marshall St, Portland, OR 97209","2026/06/02",2879,"2 Beds","Apartment"
"910 N Harbour Dr, Portland, OR 97217","2026/06/02",1450,"1 Bed","Apartment"
"910 N Harbour Dr, Portland, OR 97217","2026/06/02",1749,"2 Beds","Apartment"
"5745 SW Oleson Rd, Portland, OR 97225","2026/06/02",1599,"1 Bed","Apartment"
"5745 SW Oleson Rd, Portland, OR 97225","2026/06/02",1699,"2 Beds","Apartment"
"2220 NW Front Ave, Portland, OR 97209","2026/06/02",1388,"Studio","Apartment"
"2220 NW Front Ave, Portland, OR 97209","2026/06/02",1468,"1 Bed","Apartment"
"2220 NW Front Ave, Portland, OR 97209","2026/06/02",2576,"2 Beds","Apartment"
"11974 SW 72nd Ave, Tigard, OR 97223","2026/06/02",1328,"Studio","Apartment"
"11974 SW 72nd Ave, Tigard, OR 97223","2026/06/02",1613,"1 Bed","Apartment"
"11974 SW 72nd Ave, Tigard, OR 97223","2026/06/02",2265,"2 Beds","Apartment"
"10306 SE Main St, Milwaukie, OR 97222","2026/06/02",1499,"Studio","Apartment"
"10306 SE Main St, Milwaukie, OR 97222","2026/06/02",1645,"1 Bed","Apartment"
"10306 SE Main St, Milwaukie, OR 97222","2026/06/02",2545,"2 Beds","Apartment"
"1110 W Columbia Way, Vancouver, WA 98660","2026/06/02",1555,"Studio","Apartment"
"1110 W Columbia Way, Vancouver, WA 98660","2026/06/02",1818,"1 Bed","Apartment"
"1110 W Columbia Way, Vancouver, WA 98660","2026/06/02",2580,"2 Beds","Apartment"
"1 Jefferson Pky, Lake Oswego, OR 97035","2026/06/02",1527,"1 Bed","Apartment"
"1 Jefferson Pky, Lake Oswego, OR 97035","2026/06/02",1776,"2 Beds","Apartment"
"1 Jefferson Pky, Lake Oswego, OR 97035","2026/06/02",2728,"3 Beds+","Apartment"
"636 W 6th St, Vancouver, WA 98660","2026/06/02",1716,"1 Bed","Apartment"
"636 W 6th St, Vancouver, WA 98660","2026/06/02",2138,"2 Beds","Apartment"
"411 Columbia St, Vancouver, WA 98660","2026/06/02",1526,"Studio","Apartment"
"411 Columbia St, Vancouver, WA 98660","2026/06/02",1526,"1 Bed","Apartment"
"411 Columbia St, Vancouver, WA 98660","2026/06/02",2752,"2 Beds","Apartment"
"440 W Columbia Way, Vancouver, WA 98660","2026/06/02",1635,"Studio","Apartment"
"440 W Columbia Way, Vancouver, WA 98660","2026/06/02",1875,"1 Bed","Apartment"
"440 W Columbia Way, Vancouver, WA 98660","2026/06/02",3185,"2 Beds","Apartment"
"13155 SW 68th Pky, Tigard, OR 97223","2026/06/02",1805,"1 Bed","Apartment"
"13155 SW 68th Pky, Tigard, OR 97223","2026/06/02",2355,"2 Beds","Apartment"
"8376 SW Pfaffle St, Tigard, OR 97223","2026/06/02",1470,"2 Beds",NA
"700 Waterfront Way, Vancouver, WA 98660","2026/06/02",1625,"Studio","Apartment"
"700 Waterfront Way, Vancouver, WA 98660","2026/06/02",2100,"1 Bed","Apartment"
"15 NW Park Ave, Portland, OR 97209","2026/06/02",1428,"1 Bed","Apartment"
"15 NW Park Ave, Portland, OR 97209","2026/06/02",2194,"2 Beds","Apartment"
"2050 NE Hoyt St, Portland, OR 97232","2026/06/02",1342,"Studio","Apartment"
"2050 NE Hoyt St, Portland, OR 97232","2026/06/02",1610,"1 Bed","Apartment"
"2050 NE Hoyt St, Portland, OR 97232","2026/06/02",2786,"2 Beds","Apartment"
"550 SE Martin Luther King Jr Blvd, Portland, OR 97214","2026/06/02",1295,"Studio","Apartment"
"550 SE Martin Luther King Jr Blvd, Portland, OR 97214","2026/06/02",1499,"1 Bed","Apartment"
"535 NW 11th Ave, Portland, OR 97209","2026/06/02",1580,"Studio","Apartment"
"535 NW 11th Ave, Portland, OR 97209","2026/06/02",1584,"1 Bed","Apartment"
"535 NW 11th Ave, Portland, OR 97209","2026/06/02",2275,"2 Beds","Apartment"
"4242 NE Halsey St, Portland, OR 97213","2026/06/02",1399,"Studio","Apartment"
"4242 NE Halsey St, Portland, OR 97213","2026/06/02",1550,"1 Bed","Apartment"
"4242 NE Halsey St, Portland, OR 97213","2026/06/02",1900,"2 Beds","Apartment"
"2112 NW Quimby St, Portland, OR 97210","2026/06/02",1319,"Studio","Apartment"
"2112 NW Quimby St, Portland, OR 97210","2026/06/02",1586,"1 Bed","Apartment"
"1250 E Burnside St, Portland, OR 97214","2026/06/02",1405,"1 Bed","Apartment"
"1250 E Burnside St, Portland, OR 97214","2026/06/02",2340,"2 Beds","Apartment"
"1625 SW Alder St, Portland, OR 97205","2026/06/02",1300,"Studio","Apartment"
"1625 SW Alder St, Portland, OR 97205","2026/06/02",1439,"1 Bed","Apartment"
"735 SW Saint Clair Ave, Portland, OR 97205","2026/06/02",1351,"1 Bed","Apartment"
"735 SW Saint Clair Ave, Portland, OR 97205","2026/06/02",1940,"2 Beds","Apartment"
"2209 NW Everett St, Portland, OR 97210","2026/06/02",1195,"Studio","Apartment"
"2209 NW Everett St, Portland, OR 97210","2026/06/02",1225,"1 Bed","Apartment"
"4030 N Williams Ave, Portland, OR 97227","2026/06/02",1225,"Studio","Apartment"
"4030 N Williams Ave, Portland, OR 97227","2026/06/02",1199,"1 Bed","Apartment"
"4030 N Williams Ave, Portland, OR 97227","2026/06/02",1649,"2 Beds","Apartment"
"1720 SW 4th Ave, Portland, OR 97201","2026/06/02",1420,"Studio","Apartment"
"1720 SW 4th Ave, Portland, OR 97201","2026/06/02",1647,"1 Bed","Apartment"
"1720 SW 4th Ave, Portland, OR 97201","2026/06/02",2083,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
"1030-1030 SW Jefferson St, Portland, OR 97201","2026/06/02",1406,"Studio","Apartment"
"1030-1030 SW Jefferson St, Portland, OR 97201","2026/06/02",1432,"1 Bed","Apartment"
"1030-1030 SW Jefferson St, Portland, OR 97201","2026/06/02",2018,"2 Beds","Apartment"
