"Address","Date","Rent","Aprt_Type","Building_Type"
"13100 Margie Ln, Raleigh, NC 27603","2026/07/07",1240,"1 Bed","Apartment"
"13100 Margie Ln, Raleigh, NC 27603","2026/07/07",1451,"2 Beds","Apartment"
"13100 Margie Ln, Raleigh, NC 27603","2026/07/07",1650,"3 Beds","Apartment"
"7100 Homestead Heights Ln, Raleigh, NC 27616","2026/07/07",1392,"1 Bed","Apartment"
"7100 Homestead Heights Ln, Raleigh, NC 27616","2026/07/07",1877,"2 Beds","Apartment"
"7100 Homestead Heights Ln, Raleigh, NC 27616","2026/07/07",2452,"3 Beds","Apartment"
"821 Hanbury Wy, Raleigh, NC 27607","2026/07/07",1446,"1 Bed","Apartment"
"821 Hanbury Wy, Raleigh, NC 27607","2026/07/07",1920,"2 Beds","Apartment"
"821 Hanbury Wy, Raleigh, NC 27607","2026/07/07",2596,"3 Beds","Apartment"
"11201 Tidewater Ln, Raleigh, NC 27614","2026/07/07",1200,"1 Bed","Apartment"
"11201 Tidewater Ln, Raleigh, NC 27614","2026/07/07",1875,"2 Beds","Apartment"
"11100 Madison Elm Ln, Raleigh, NC 27614","2026/07/07",1225,"1 Bed","Apartment"
"11100 Madison Elm Ln, Raleigh, NC 27614","2026/07/07",1619,"2 Beds","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/07/07",1392,"1 Bed","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/07/07",1699,"2 Beds","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/07/07",2192,"3 Beds","Apartment"
"1528 E Williams St, Apex, NC 27539","2026/07/07",1499,"1 Bed","Apartment"
"1528 E Williams St, Apex, NC 27539","2026/07/07",1799,"2 Beds","Apartment"
"1528 E Williams St, Apex, NC 27539","2026/07/07",2280,"3 Beds","Apartment"
"2700 Whakatane Ln, Fuquay Varina, NC 27526","2026/07/07",1303,"1 Bed","Apartment"
"2700 Whakatane Ln, Fuquay Varina, NC 27526","2026/07/07",1525,"2 Beds","Apartment"
"2700 Whakatane Ln, Fuquay Varina, NC 27526","2026/07/07",1780,"3 Beds","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/07/07",1573,"Studio","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/07/07",1553,"1 Bed","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/07/07",2133,"2 Beds+","Apartment"
"108 S Main St, Rolesville, NC 27571","2026/07/07",1363,"1 Bed","Apartment"
"108 S Main St, Rolesville, NC 27571","2026/07/07",1848,"2 Beds","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/07/07",1290,"1 Bed","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/07/07",1630,"2 Beds","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/07/07",1914,"3 Beds","Apartment"
"2500 Red Bartlett Way, Raleigh, NC 27616","2026/07/07",1525,"1 Bed","Apartment"
"2500 Red Bartlett Way, Raleigh, NC 27616","2026/07/07",1833,"2 Beds","Apartment"
"2500 Red Bartlett Way, Raleigh, NC 27616","2026/07/07",2293,"3 Beds","Apartment"
"5721 Goodstone Dr, Raleigh, NC 27616","2026/07/07",1065,"Studio","Apartment"
"5721 Goodstone Dr, Raleigh, NC 27616","2026/07/07",1198,"1 Bed","Apartment"
"5721 Goodstone Dr, Raleigh, NC 27616","2026/07/07",1642,"2 Beds","Apartment"
"511 Fayetteville St, Raleigh, NC 27601","2026/07/07",1384,"Studio","Apartment"
"511 Fayetteville St, Raleigh, NC 27601","2026/07/07",1696,"1 Bed","Apartment"
"319 W Lenoir St, Raleigh, NC 27601","2026/07/07",1719,"Studio","Apartment"
"319 W Lenoir St, Raleigh, NC 27601","2026/07/07",1699,"1 Bed","Apartment"
"319 W Lenoir St, Raleigh, NC 27601","2026/07/07",2572,"2 Beds+","Apartment"
"6601 Roxboro St, Raleigh, NC 27616","2026/07/07",1298,"Studio","Apartment"
"6601 Roxboro St, Raleigh, NC 27616","2026/07/07",1285,"1 Bed","Apartment"
"6601 Roxboro St, Raleigh, NC 27616","2026/07/07",1582,"2 Beds+","Apartment"
"121 Kindley St, Raleigh, NC 27601","2026/07/07",1368,"Studio","Apartment"
"121 Kindley St, Raleigh, NC 27601","2026/07/07",1682,"1 Bed","Apartment"
"121 Kindley St, Raleigh, NC 27601","2026/07/07",2030,"2 Beds","Apartment"
"310 Taryn Ave, Raleigh, NC 27603","2026/07/07",1399,"1 Bed","Apartment"
"310 Taryn Ave, Raleigh, NC 27603","2026/07/07",1706,"2 Beds","Apartment"
"310 Taryn Ave, Raleigh, NC 27603","2026/07/07",2086,"3 Beds","Apartment"
"7303 Bryn Athyn Way, Raleigh, NC 27615","2026/07/07",1225,"1 Bed","Apartment"
"7303 Bryn Athyn Way, Raleigh, NC 27615","2026/07/07",1400,"2 Beds","Apartment"
"3105 Holston Ln, Raleigh, NC 27610","2026/07/07",1060,"1 Bed","Apartment"
"3105 Holston Ln, Raleigh, NC 27610","2026/07/07",1175,"2 Beds","Apartment"
"1160 Auston Grove Dr, Raleigh, NC 27610","2026/07/07",1229,"1 Bed","Apartment"
"1160 Auston Grove Dr, Raleigh, NC 27610","2026/07/07",1377,"2 Beds","Apartment"
"1160 Auston Grove Dr, Raleigh, NC 27610","2026/07/07",1812,"3 Beds","Apartment"
"3235 Trimblestone Ln, Raleigh, NC 27616","2026/07/07",1111,"1 Bed","Apartment"
"3235 Trimblestone Ln, Raleigh, NC 27616","2026/07/07",1441,"2 Beds","Apartment"
"9500 Muirfield Club Dr, Raleigh, NC 27615","2026/07/07",1260,"1 Bed","Apartment"
"9500 Muirfield Club Dr, Raleigh, NC 27615","2026/07/07",1510,"2 Beds","Apartment"
"9500 Muirfield Club Dr, Raleigh, NC 27615","2026/07/07",1830,"3 Beds","Apartment"
"2450 Centennial Ridge Way, Raleigh, NC 27603","2026/07/07",599,"3 Beds",NA
"1300 Tribute Center Dr, Raleigh, NC 27612","2026/07/07",1308,"Studio","Apartment"
"1300 Tribute Center Dr, Raleigh, NC 27612","2026/07/07",1222,"1 Bed","Apartment"
"1300 Tribute Center Dr, Raleigh, NC 27612","2026/07/07",1566,"2 Beds","Apartment"
"804-817 Mcmakin St, Raleigh, NC 27610","2026/07/07",1099,"2 Beds","Apartment"
"804-817 Mcmakin St, Raleigh, NC 27610","2026/07/07",1299,"3 Beds","Apartment"
