"Address","Date","Rent","Aprt_Type","Building_Type"
"1350 S Bascom Ave, San Jose, CA 95128","2026/02/02",3037,"Studio","Apartment"
"1350 S Bascom Ave, San Jose, CA 95128","2026/02/02",3456,"1 Bed","Apartment"
"1350 S Bascom Ave, San Jose, CA 95128","2026/02/02",4492,"2 Beds","Apartment"
"5255 Camden Ave, San Jose, CA 95124","2026/02/02",2788,"2 Beds",NA
"4300 The Woods Dr, San Jose, CA 95136","2026/02/02",1945,"Studio","Apartment"
"4300 The Woods Dr, San Jose, CA 95136","2026/02/02",2425,"1 Bed","Apartment"
"4300 The Woods Dr, San Jose, CA 95136","2026/02/02",2795,"2 Beds+","Apartment"
"2073 McLaughlin Ave, San Jose, CA 95122","2026/02/02",2590,"2 Beds","Apartment"
"2073 McLaughlin Ave, San Jose, CA 95122","2026/02/02",3580,"3 Beds","Apartment"
"355 Kiely Blvd, San Jose, CA 95129","2026/02/02",1999,"Studio","Apartment"
"355 Kiely Blvd, San Jose, CA 95129","2026/02/02",2349,"1 Bed","Apartment"
"355 Kiely Blvd, San Jose, CA 95129","2026/02/02",2918,"2 Beds","Apartment"
"4951 Cherry Ave, San Jose, CA 95118","2026/02/02",2465,"Studio","Apartment"
"4951 Cherry Ave, San Jose, CA 95118","2026/02/02",2655,"1 Bed","Apartment"
"4951 Cherry Ave, San Jose, CA 95118","2026/02/02",2995,"2 Beds","Apartment"
"1255 Babb Ct, San Jose, CA 95125","2026/02/02",3100,"2 Beds",NA
"2086 Lucretia Ave, San Jose, CA 95122","2026/02/02",2635,"2 Beds","Apartment"
"2086 Lucretia Ave, San Jose, CA 95122","2026/02/02",3262,"3 Beds","Apartment"
"1543 Ambergrove Dr, San Jose, CA 95131","2026/02/02",2700,"1 Bed","Apartment"
"1543 Ambergrove Dr, San Jose, CA 95131","2026/02/02",2850,"2 Beds","Apartment"
"1543 Ambergrove Dr, San Jose, CA 95131","2026/02/02",4100,"3 Beds","Apartment"
"5822 Charlotte Dr, San Jose, CA 95123","2026/02/02",2669,"1 Bed","Apartment"
"5822 Charlotte Dr, San Jose, CA 95123","2026/02/02",2979,"2 Beds","Apartment"
"5822 Charlotte Dr, San Jose, CA 95123","2026/02/02",3489,"3 Beds","Apartment"
"6670 Emergent Way, San Jose, CA 95119","2026/02/02",2718,"Studio","Apartment"
"6670 Emergent Way, San Jose, CA 95119","2026/02/02",2885,"1 Bed","Apartment"
"6670 Emergent Way, San Jose, CA 95119","2026/02/02",3893,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
"2230 Calle Del Mundo, Santa Clara, CA 95054","2026/02/02",2982,"Studio","Apartment"
"2230 Calle Del Mundo, Santa Clara, CA 95054","2026/02/02",3361,"1 Bed","Apartment"
"2230 Calle Del Mundo, Santa Clara, CA 95054","2026/02/02",4537,"2 Beds","Apartment"
"18303 Alpera Ln, Morgan Hill, CA 95037","2026/02/02",2821,"1 Bed","Apartment"
"18303 Alpera Ln, Morgan Hill, CA 95037","2026/02/02",3515,"2 Beds","Apartment"
"5150 Calle del Sol, Santa Clara, CA 95054","2026/02/02",3317,"Studio","Apartment"
"5150 Calle del Sol, Santa Clara, CA 95054","2026/02/02",4011,"1 Bed","Apartment"
"5150 Calle del Sol, Santa Clara, CA 95054","2026/02/02",5465,"2 Beds+","Apartment"
"18730 Miner Ln, Morgan Hill, CA 95037","2026/02/02",2178,"1 Bed","Apartment"
"18730 Miner Ln, Morgan Hill, CA 95037","2026/02/02",2602,"2 Beds","Apartment"
"18730 Miner Ln, Morgan Hill, CA 95037","2026/02/02",2471,"3 Beds","Apartment"
"2275 S Bascom Ave, Campbell, CA 95008","2026/02/02",2555,"1 Bed","Apartment"
"2275 S Bascom Ave, Campbell, CA 95008","2026/02/02",2855,"2 Beds","Apartment"
"2275 S Bascom Ave, Campbell, CA 95008","2026/02/02",3555,"3 Beds","Apartment"
"1101 N Fair Oaks Ave, Sunnyvale, CA 94089","2026/02/02",3050,"Studio","Apartment"
"1101 N Fair Oaks Ave, Sunnyvale, CA 94089","2026/02/02",3200,"1 Bed","Apartment"
"1101 N Fair Oaks Ave, Sunnyvale, CA 94089","2026/02/02",3800,"2 Beds","Apartment"
"1205 Coleman Ave, Santa Clara, CA 95050","2026/02/02",3535,"Studio","Apartment"
"1205 Coleman Ave, Santa Clara, CA 95050","2026/02/02",3355,"1 Bed","Apartment"
"1205 Coleman Ave, Santa Clara, CA 95050","2026/02/02",4365,"2 Beds+","Apartment"
"2240 Calle De Luna, Santa Clara, CA 95054","2026/02/02",3320,"Studio","Apartment"
"2240 Calle De Luna, Santa Clara, CA 95054","2026/02/02",3594,"1 Bed","Apartment"
"2240 Calle De Luna, Santa Clara, CA 95054","2026/02/02",5638,"2 Beds","Apartment"
"2333 Calle Del Mundo, Santa Clara, CA 95054","2026/02/02",3640,"1 Bed","Apartment"
"2333 Calle Del Mundo, Santa Clara, CA 95054","2026/02/02",4640,"2 Beds","Apartment"
"2333 Calle Del Mundo, Santa Clara, CA 95054","2026/02/02",6505,"3 Beds","Apartment"
"1200 Rickabaugh Way, Santa Clara, CA 95050","2026/02/02",3535,"Studio","Apartment"
"1200 Rickabaugh Way, Santa Clara, CA 95050","2026/02/02",3355,"1 Bed","Apartment"
"1200 Rickabaugh Way, Santa Clara, CA 95050","2026/02/02",4365,"2 Beds+","Apartment"
"919 S Winchester Blvd, San Jose, CA 95128","2026/02/02",3218,"1 Bed","Apartment"
"919 S Winchester Blvd, San Jose, CA 95128","2026/02/02",3976,"2 Beds","Apartment"
"525 N 7th St, San Jose, CA 95112","2026/02/02",3821,"2 Beds","Apartment"
"525 N 7th St, San Jose, CA 95112","2026/02/02",4721,"3 Beds","Apartment"
"388 Santana Row, San Jose, CA 95128","2026/02/02",3089,"Studio","Apartment"
"388 Santana Row, San Jose, CA 95128","2026/02/02",3643,"1 Bed","Apartment"
"388 Santana Row, San Jose, CA 95128","2026/02/02",4657,"2 Beds+","Apartment"
"121 E Tasman Dr, San Jose, CA 95134","2026/02/02",3017,"Studio","Apartment"
"121 E Tasman Dr, San Jose, CA 95134","2026/02/02",3973,"2 Beds","Apartment"
"377 Santana Row, San Jose, CA 95128","2026/02/02",3262,"1 Bed","Apartment"
"377 Santana Row, San Jose, CA 95128","2026/02/02",4091,"2 Beds","Apartment"
"377 Santana Row, San Jose, CA 95128","2026/02/02",5303,"3 Beds+","Apartment"
"5805 Charlotte Dr, San Jose, CA 95123","2026/02/02",2837,"1 Bed","Apartment"
"5805 Charlotte Dr, San Jose, CA 95123","2026/02/02",3355,"2 Beds","Apartment"
"1919 Fruitdale Ave, San Jose, CA 95128","2026/02/02",2479,"1 Bed","Apartment"
"1919 Fruitdale Ave, San Jose, CA 95128","2026/02/02",3037,"2 Beds","Apartment"
"1700 Newbury Park Dr, San Jose, CA 95133","2026/02/02",2804,"1 Bed","Apartment"
"1700 Newbury Park Dr, San Jose, CA 95133","2026/02/02",3313,"2 Beds","Apartment"
"868 S 5th St, San Jose, CA 95112","2026/02/02",2809,"1 Bed","Apartment"
"868 S 5th St, San Jose, CA 95112","2026/02/02",3232,"2 Beds","Apartment"
"515 Lincoln Ave, San Jose, CA 95126","2026/02/02",2832,"1 Bed","Apartment"
"515 Lincoln Ave, San Jose, CA 95126","2026/02/02",3759,"2 Beds","Apartment"
"138 Balbach St, San Jose, CA 95110","2026/02/02",2870,"1 Bed","Apartment"
"138 Balbach St, San Jose, CA 95110","2026/02/02",3734,"2 Beds","Apartment"
"138 Balbach St, San Jose, CA 95110","2026/02/02",5443,"3 Beds","Apartment"
"620 N 6th St, San Jose, CA 95112","2026/02/02",2905,"Studio","Apartment"
"620 N 6th St, San Jose, CA 95112","2026/02/02",3325,"1 Bed","Apartment"
"620 N 6th St, San Jose, CA 95112","2026/02/02",4085,"2 Beds+","Apartment"
"1001 Blossom Hill Rd, San Jose, CA 95123","2026/02/02",1822,"1 Bed","Apartment"
"1001 Blossom Hill Rd, San Jose, CA 95123","2026/02/02",1272,"2 Beds","Apartment"
"1001 Blossom Hill Rd, San Jose, CA 95123","2026/02/02",2504,"3 Beds","Apartment"
"996-998 Meridian Ave, San Jose, CA 95126","2026/02/02",2450,"3 Beds",NA
"700 S Saratoga Ave, San Jose, CA 95129","2026/02/02",1980,"Studio","Apartment"
"700 S Saratoga Ave, San Jose, CA 95129","2026/02/02",2205,"1 Bed","Apartment"
"700 S Saratoga Ave, San Jose, CA 95129","2026/02/02",2730,"2 Beds","Apartment"
"55-75 S 6th St, San Jose, CA 95112","2026/02/02",1895,"Studio","Apartment"
"55-75 S 6th St, San Jose, CA 95112","2026/02/02",2500,"1 Bed","Apartment"
"250 Brandon St, San Jose, CA 95134","2026/02/02",3080,"Studio","Apartment"
"250 Brandon St, San Jose, CA 95134","2026/02/02",3155,"1 Bed","Apartment"
"250 Brandon St, San Jose, CA 95134","2026/02/02",4280,"2 Beds","Apartment"
"1050 Summerside Dr, San Jose, CA 95122","2026/02/02",2135,"1 Bed","Apartment"
"1050 Summerside Dr, San Jose, CA 95122","2026/02/02",2605,"2 Beds","Apartment"
"1045 Coleman Rd, San Jose, CA 95123","2026/02/02",2775,"1 Bed","Apartment"
"1045 Coleman Rd, San Jose, CA 95123","2026/02/02",3361,"2 Beds","Apartment"
"1045 Coleman Rd, San Jose, CA 95123","2026/02/02",4199,"3 Beds","Apartment"
"3246 Cortese Cir, San Jose, CA 95127","2026/02/02",2850,"3 Beds",NA
"2550 S King Rd, San Jose, CA 95122","2026/02/02",2156,"Studio","Apartment"
"2550 S King Rd, San Jose, CA 95122","2026/02/02",2303,"1 Bed","Apartment"
"2550 S King Rd, San Jose, CA 95122","2026/02/02",2753,"2 Beds","Apartment"
"3500 Palmilla Dr, San Jose, CA 95134","2026/02/02",2665,"Studio","Apartment"
"3500 Palmilla Dr, San Jose, CA 95134","2026/02/02",2865,"1 Bed","Apartment"
"3500 Palmilla Dr, San Jose, CA 95134","2026/02/02",3455,"2 Beds+","Apartment"
"320 Crescent Village Cir, San Jose, CA 95134","2026/02/02",2700,"Studio","Apartment"
"320 Crescent Village Cir, San Jose, CA 95134","2026/02/02",2925,"1 Bed","Apartment"
"320 Crescent Village Cir, San Jose, CA 95134","2026/02/02",3545,"2 Beds","Apartment"
"98 N 1st St, San Jose, CA 95113","2026/02/02",2800,"Studio","Apartment"
"98 N 1st St, San Jose, CA 95113","2026/02/02",2942,"1 Bed","Apartment"
"808 W San Carlos St, San Jose, CA 95126","2026/02/02",2443,"Studio","Apartment"
"808 W San Carlos St, San Jose, CA 95126","2026/02/02",2939,"1 Bed","Apartment"
"1785 Almaden Rd, San Jose, CA 95125","2026/02/02",3372,"1 Bed",NA
NA,NA,NA,NA,NA
"308 Sango Ct, Milpitas, CA 95035","2026/02/02",1982,"1 Bed","Apartment"
"308 Sango Ct, Milpitas, CA 95035","2026/02/02",2370,"2 Beds","Apartment"
"308 Sango Ct, Milpitas, CA 95035","2026/02/02",2728,"3 Beds","Apartment"
"2350 S Bascom Ave, Campbell, CA 95008","2026/02/02",1018,"Studio","Apartment"
"2350 S Bascom Ave, Campbell, CA 95008","2026/02/02",1071,"1 Bed","Apartment"
"2350 S Bascom Ave, Campbell, CA 95008","2026/02/02",1276,"2 Beds+","Apartment"
"3507 S Bascom Ave, Campbell, CA 95008","2026/02/02",2550,"1 Bed","Apartment"
"3507 S Bascom Ave, Campbell, CA 95008","2026/02/02",2950,"2 Beds","Apartment"
"950 S Main St, Milpitas, CA 95035","2026/02/02",2550,"2 Beds",NA
"755 E Capitol Ave, Milpitas, CA 95035","2026/02/02",2625,"1 Bed","Apartment"
"755 E Capitol Ave, Milpitas, CA 95035","2026/02/02",3245,"2 Beds","Apartment"
"755 E Capitol Ave, Milpitas, CA 95035","2026/02/02",3995,"3 Beds","Apartment"
"730-730 Agnew Rd, Santa Clara, CA 95054","2026/02/02",2967,"1 Bed","Apartment"
"730-730 Agnew Rd, Santa Clara, CA 95054","2026/02/02",4023,"2 Beds","Apartment"
"10100 Mary Ave, Cupertino, CA 95014","2026/02/02",3195,"1 Bed","Apartment"
"10100 Mary Ave, Cupertino, CA 95014","2026/02/02",4395,"2 Beds","Apartment"
"10100 Mary Ave, Cupertino, CA 95014","2026/02/02",5595,"3 Beds","Apartment"
"3320 Montgomery Dr, Santa Clara, CA 95054","2026/02/02",3170,"Studio","Apartment"
"3320 Montgomery Dr, Santa Clara, CA 95054","2026/02/02",3710,"1 Bed","Apartment"
"3320 Montgomery Dr, Santa Clara, CA 95054","2026/02/02",4505,"2 Beds","Apartment"
"300 Railway Ave, Campbell, CA 95008","2026/02/02",3400,"2 Beds",NA
"730-750 E Capitol Ave, Milpitas, CA 95035","2026/02/02",2625,"Studio","Apartment"
"730-750 E Capitol Ave, Milpitas, CA 95035","2026/02/02",2795,"1 Bed","Apartment"
