"Address","Date","Rent","Aprt_Type","Building_Type"
"1121 E Ashton Ave, Salt Lake City, UT 84106","2026/01/12",1500,"Studio","Apartment"
"1121 E Ashton Ave, Salt Lake City, UT 84106","2026/01/12",1850,"1 Bed","Apartment"
"1121 E Ashton Ave, Salt Lake City, UT 84106","2026/01/12",1395,"2 Beds+","Apartment"
"315 W Pierpont Ave, Salt Lake City, UT 84101","2026/01/12",1250,"Studio","Apartment"
"315 W Pierpont Ave, Salt Lake City, UT 84101","2026/01/12",1589,"1 Bed","Apartment"
"315 W Pierpont Ave, Salt Lake City, UT 84101","2026/01/12",1995,"2 Beds","Apartment"
"480 E South Temple, Salt Lake City, UT 84111","2026/01/12",1209,"1 Bed","Apartment"
"480 E South Temple, Salt Lake City, UT 84111","2026/01/12",1899,"2 Beds","Apartment"
"515 S 400 E, Salt Lake City, UT 84111","2026/01/12",1300,"Studio","Apartment"
"515 S 400 E, Salt Lake City, UT 84111","2026/01/12",1575,"1 Bed","Apartment"
"515 S 400 E, Salt Lake City, UT 84111","2026/01/12",2150,"2 Beds","Apartment"
"611 S Main St, Salt Lake City, UT 84111","2026/01/12",1484,"1 Bed","Apartment"
"611 S Main St, Salt Lake City, UT 84111","2026/01/12",2449,"2 Beds","Apartment"
"320 N 490 W, Salt Lake City, UT 84103","2026/01/12",1481,"Studio","Apartment"
"320 N 490 W, Salt Lake City, UT 84103","2026/01/12",1697,"1 Bed","Apartment"
"320 N 490 W, Salt Lake City, UT 84103","2026/01/12",2683,"2 Beds+","Apartment"
"565 W 100 S, Salt Lake City, UT 84101","2026/01/12",1419,"1 Bed","Apartment"
"565 W 100 S, Salt Lake City, UT 84101","2026/01/12",2275,"2 Beds","Apartment"
"565 W 100 S, Salt Lake City, UT 84101","2026/01/12",3000,"3 Beds","Apartment"
"555 E 2100 S, Salt Lake City, UT 84106","2026/01/12",1159,"Studio","Apartment"
"555 E 2100 S, Salt Lake City, UT 84106","2026/01/12",1827,"1 Bed","Apartment"
"555 E 2100 S, Salt Lake City, UT 84106","2026/01/12",2402,"2 Beds","Apartment"
"111 N Cornell St, Salt Lake City, UT 84116","2026/01/12",1199,"Studio","Apartment"
"111 N Cornell St, Salt Lake City, UT 84116","2026/01/12",1339,"1 Bed","Apartment"
"111 N Cornell St, Salt Lake City, UT 84116","2026/01/12",1894,"2 Beds","Apartment"
"3690 S Highland Dr, Salt Lake City, UT 84106","2026/01/12",1400,"2 Beds","Apartment"
"3690 S Highland Dr, Salt Lake City, UT 84106","2026/01/12",1800,"3 Beds","Apartment"
"4150 S 300 E, Salt Lake City, UT 84107","2026/01/12",1121,"1 Bed","Apartment"
"4150 S 300 E, Salt Lake City, UT 84107","2026/01/12",1459,"2 Beds","Apartment"
"974 E 2100 S, Salt Lake City, UT 84106","2026/01/12",1399,"2 Beds",NA
"566 S Redwood Rd, Salt Lake City, UT 84104","2026/01/12",1695,"1 Bed","Apartment"
"566 S Redwood Rd, Salt Lake City, UT 84104","2026/01/12",2195,"2 Beds","Apartment"
"1243 E Brickyard Rd, Salt Lake City, UT 84106","2026/01/12",1453,"1 Bed","Apartment"
"1243 E Brickyard Rd, Salt Lake City, UT 84106","2026/01/12",2044,"2 Beds","Apartment"
"360 S 200 W, Salt Lake City, UT 84101","2026/01/12",1140,"1 Bed","Apartment"
"360 S 200 W, Salt Lake City, UT 84101","2026/01/12",1524,"2 Beds","Apartment"
"4929 S Lake Pines Dr, Salt Lake City, UT 84107","2026/01/12",1199,"1 Bed","Apartment"
"4929 S Lake Pines Dr, Salt Lake City, UT 84107","2026/01/12",1599,"2 Beds","Apartment"
"360 S 400 W, Salt Lake City, UT 84101","2026/01/12",1275,"Studio","Apartment"
"360 S 400 W, Salt Lake City, UT 84101","2026/01/12",1150,"1 Bed","Apartment"
"360 S 400 W, Salt Lake City, UT 84101","2026/01/12",1848,"2 Beds","Apartment"
"255 N 400 W, Salt Lake City, UT 84103","2026/01/12",1549,"Studio","Apartment"
"255 N 400 W, Salt Lake City, UT 84103","2026/01/12",1659,"1 Bed","Apartment"
"255 N 400 W, Salt Lake City, UT 84103","2026/01/12",2376,"2 Beds","Apartment"
"505 W 100 S, Salt Lake City, UT 84101","2026/01/12",1107,"Studio","Apartment"
"505 W 100 S, Salt Lake City, UT 84101","2026/01/12",1469,"1 Bed","Apartment"
"505 W 100 S, Salt Lake City, UT 84101","2026/01/12",2405,"2 Beds+","Apartment"
"3808 S W Temple, Salt Lake City, UT 84115","2026/01/12",1012,"Studio","Apartment"
"3808 S W Temple, Salt Lake City, UT 84115","2026/01/12",1199,"1 Bed","Apartment"
"3808 S W Temple, Salt Lake City, UT 84115","2026/01/12",1744,"2 Beds","Apartment"
"241 W 200 S, Salt Lake City, UT 84101","2026/01/12",1311,"Studio","Apartment"
"241 W 200 S, Salt Lake City, UT 84101","2026/01/12",1721,"1 Bed","Apartment"
"241 W 200 S, Salt Lake City, UT 84101","2026/01/12",2016,"2 Beds","Apartment"
"455 W 200 N, Salt Lake City, UT 84103","2026/01/12",1399,"Studio","Apartment"
"455 W 200 N, Salt Lake City, UT 84103","2026/01/12",2009,"1 Bed","Apartment"
"455 W 200 N, Salt Lake City, UT 84103","2026/01/12",2487,"2 Beds","Apartment"
"308 W North Temple, Salt Lake City, UT 84103","2026/01/12",1649,"Studio","Apartment"
"308 W North Temple, Salt Lake City, UT 84103","2026/01/12",1615,"1 Bed","Apartment"
"308 W North Temple, Salt Lake City, UT 84103","2026/01/12",1874,"2 Beds","Apartment"
"245 S 200 E, Salt Lake City, UT 84111","2026/01/12",1349,"1 Bed","Apartment"
"245 S 200 E, Salt Lake City, UT 84111","2026/01/12",2044,"2 Beds","Apartment"
"447 E 100 S, Salt Lake City, UT 84111","2026/01/12",1024,"Studio","Apartment"
"447 E 100 S, Salt Lake City, UT 84111","2026/01/12",1234,"1 Bed","Apartment"
"2852 S West Temple St, Salt Lake City, UT 84115","2026/01/12",2000,"2 Beds","Apartment"
"2852 S West Temple St, Salt Lake City, UT 84115","2026/01/12",2300,"3 Beds","Apartment"
"2188 S Highland Dr, Salt Lake City, UT 84106","2026/01/12",1824,"Studio","Apartment"
"2188 S Highland Dr, Salt Lake City, UT 84106","2026/01/12",1724,"1 Bed","Apartment"
"2188 S Highland Dr, Salt Lake City, UT 84106","2026/01/12",3599,"2 Beds","Apartment"
"1977 S 300 W, Salt Lake City, UT 84115","2026/01/12",1199,"1 Bed","Apartment"
"1977 S 300 W, Salt Lake City, UT 84115","2026/01/12",1499,"2 Beds","Apartment"
"378 W 300 S, Salt Lake City, UT 84101","2026/01/12",1349,"Studio","Apartment"
"378 W 300 S, Salt Lake City, UT 84101","2026/01/12",1529,"1 Bed","Apartment"
"378 W 300 S, Salt Lake City, UT 84101","2026/01/12",1999,"2 Beds","Apartment"
"1740 W Gertie Ave, Salt Lake City, UT 84116","2026/01/12",899,"Studio","Apartment"
"1740 W Gertie Ave, Salt Lake City, UT 84116","2026/01/12",1149,"1 Bed","Apartment"
"1740 W Gertie Ave, Salt Lake City, UT 84116","2026/01/12",1499,"2 Beds","Apartment"
"510 S 300 W, Salt Lake City, UT 84101","2026/01/12",1219,"Studio","Apartment"
"510 S 300 W, Salt Lake City, UT 84101","2026/01/12",1520,"1 Bed","Apartment"
"510 S 300 W, Salt Lake City, UT 84101","2026/01/12",2094,"2 Beds+","Apartment"
"828 S Richards St, Salt Lake City, UT 84101","2026/01/12",1029,"Studio","Apartment"
