"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","COMPLEX","SECTORID","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP"
"202603",256822,"S35A","B0008",83,"I","S","R","001","DC","202108",50,1888,"02","K","1","0","1","9","Multi, 5-9 units",1963.25925512942,1772.07974189243,"Imputed","",1,"4","WASHINGTON","PORTER ST NW","2736","DC","200081219"
"202603",256823,"S35A","B0008",351,"I","S","R","001","DC","",0,2213,"01","D","1","0","1","12","Multi, 50 units",2104.75940994044,1941.1315412583,"Collected","QUEBEC HOUSE",1,"1122","WASHINGTON","QUEBEC ST NW","2800","DC","200081238"
"202603",256824,"S35A","B0008",611,"I","S","R","001","DC","202208",38,2764,"01","Y","1","0","1","12","Multi, 50 units",2724.73335396534,2724.668456684,"Collected","2501PORTER",1,"1011","WASHINGTON","PORTER ST NW","2501","DC","200081262"
"202603",256826,"S35A","B0008",1159,"I","S","R","001","DC","202310",24,2274,"01","D","1","0","1","12","Multi, 50 units",2079.47882788582,1953.55447494842,"Collected","TILDEN HALL APTS",1,"110","WASHINGTON","CONNECTICUT AVE NW","3945","DC","200083481"
"202603",256827,"S35A","B0008",1528,"I","S","R","001","DC","",0,1783,"01","D","0","0","1","12","Multi, 50 units",1682.83975596683,1534.9687440963,"Collected","3901 CONNECTICUT AVE",1,"312","WASHINGTON","CONNECTICUT AVE NW","3801","DC","200084559"
"202603",256829,"S35A","B0008",2218,"I","S","R","001","DC","201502",0,8113,"01","Y","2","1","2","12","Multi, 50 units",8194.68078369233,8194.6229144096,"Collected","KENNEDY WARREN",1,"2809","WASHINGTON","CONNECTICUT AVE NW","3131","DC","200085030"
"202603",256830,"S35A","B0008",2584,"I","S","R","001","DC","201905",0,3265,"01","D","1","0","1","12","Multi, 50 units",3394.38933931347,3268.39906934851,"Collected","KENNEDY WARREN",1,"707","WASHINGTON","CONNECTICUT AVE NW","3133","DC","200085108"
"202603",256831,"S35A","B0008",2852,"I","S","R","001","DC","198503",487,1549,"01","D","1","0","1","12","Multi, 50 units",1534.68149959048,1371.07503448753,"Collected","QUEBEC HOUSE",1,"348","WASHINGTON","QUEBEC ST NW","2801","DC","200086239"
"202603",257034,"S35A","B0025",118,"I","S","R","001","DC","202508",2,2045,"01","D","1","0","1","12","Multi, 50 units",2028.37299891608,1907.43426885849,"Collected","Capital Plaza Apts.",1,"813","WASHINGTON","E ST NW","35","DC","200011520"
"202603",257037,"S35A","B0025",663,"I","S","R","001","DC","202011",59,2269,"01","Y","1","0","1","12","Multi, 50 units",2251.93483416782,2251.93483416782,"Collected","MASS COURT",1,"1014","WASHINGTON","MASSACHUSETTS AVE NW","300","DC","200012690"
"202603",257038,"S35A","B0025",823,"I","S","R","001","DC","202508",2,2464,"01","Y","1","0","1","12","Multi, 50 units",2443.19457735075,2443.19457735075,"Collected","MASS COURT",1,"528","WASHINGTON","MASSACHUSETTS AVE NW","300","DC","200012746"
"202603",257040,"S35A","B0025",1140,"I","S","R","001","DC","202408",14,2618,"01","Y","0","0","1","12","Multi, 50 units",2367.16853031555,2412.39980648577,"Collected","NEWSEUM RESIDENCES",1,"413","WASHINGTON","PENNSYLVANIA AVE NW","565","DC","200014932"
"202603",257041,"S35A","B0025",1307,"I","S","R","001","DC","201801",93,2317,"01","Y","1","0","1","12","Multi, 50 units",2368.36483029386,2368.36483029386,"Collected","Meridian at Gallery",1,"109","WASHINGTON","MASSACHUSETTS AVE NW","450","DC","200016201"
"202603",257042,"S35A","B0025",1464,"I","S","R","001","DC","202408",14,2308,"01","Y","0","0","1","12","Multi, 50 units",2289.25467718826,2289.25467718826,"Collected","Meridian at Gallery",1,"602","WASHINGTON","MASSACHUSETTS AVE NW","450","DC","200016212"
"202603",257043,"S35A","B0025",1621,"I","S","R","001","DC","202101",57,3080,"01","Y","1","0","1","12","Multi, 50 units",3119.68902027847,3119.68902027847,"Collected","Meridian at Gallery",1,"1019","WASHINGTON","MASSACHUSETTS AVE NW","450","DC","200016223"
"202603",257057,"S35A","B0027",229,"I","S","R","001","DC","202505",5,2740,"01","Y","1","0","1","12","Multi, 50 units",2710.99438835292,2655.9182861759,"Collected","ONE HILL SOUTH APTS",1,"918","WASHINGTON","K ST SE","28","DC","200033283"
"202603",257059,"S35A","B0027",736,"I","S","R","001","DC","",0,2862,"50","V","1","0","2","12","Multi, 50 units",2861.14390283784,2887.1067769161,"Imputed","PARC RIVERSIDE",1,"202","WASHINGTON","1ST ST SE","1011","DC","200033394"
"202603",257060,"S35A","B0027",1154,"I","S","R","001","DC","201605",113,3475,"01","Y","2","0","2","12","Multi, 50 units",3458.19145807458,3411.49940083096,"Collected","PARK CHELSEA",1,"412","WASHINGTON","NEW JERSEY AVE SE","880","DC","200033756"
"202603",257061,"S35A","B0027",1403,"I","S","R","001","DC","201605",113,2520,"01","Y","1","0","1","12","Multi, 50 units",3314.13387522843,3267.44181798481,"Collected","PARK CHELSEA",1,"1110","WASHINGTON","NEW JERSEY AVE SE","880","DC","200033769"
"202603",257062,"S35A","B0027",1653,"I","S","R","001","DC","202106",0,65555,"01","Y","1","0","1","12","Multi, 50 units",2794.08415127376,2752.79677365144,"Collected","ORE 82",1,"1001","WASHINGTON","I ST SE","82","DC","200033789"
"202603",257063,"S35A","B0027",1920,"I","S","R","001","DC","",0,1847,"01","Y","1","0","1","12","Multi, 50 units",1670.24498673432,1670.16221395049,"Collected","SEVENTY CAPITOL YARD",1,"519","WASHINGTON","I ST SE","70","DC","200034817"
"202603",257064,"S35A","B0027",2170,"I","S","R","001","DC","202503",0,2165,"01","Y","1","0","1","12","Multi, 50 units",2140.13576972532,2140.14477132535,"Collected","SEVENTY CAPITOL YARD",1,"1217","WASHINGTON","I ST SE","70","DC","200034841"
"202603",257065,"S35A","B0027",2423,"I","S","R","001","DC","202506",4,2100,"01","Y","1","0","1","12","Multi, 50 units",2071.81234878208,2071.81234878208,"Collected","100 CAPITOL YARDS",1,"1111","WASHINGTON","I ST SE","100","DC","200034872"
"202603",257066,"S35A","B0027",2675,"I","S","R","001","DC","202505",5,2276,"01","Y","1","0","1","12","Multi, 50 units",2255.50657801519,2255.50657801519,"Collected","909 CAPITOL YARDS",1,"1305","WASHINGTON","NEW JERSEY AVE SE","909","DC","200035316"
"202603",257067,"S35A","B0027",3073,"I","S","R","001","DC","202508",0,2827,"01","Y","1","0","2","12","Multi, 50 units",2791.89566583043,2791.72175720824,"Collected","PARC RIVERSIDE",1,"PH02","WASHINGTON","1ST ST SE","1011","DC","200035352"
"202603",257101,"S35A","B0031",27,"I","S","R","001","DC","201207",159,942,"02","K","2","0","1","10","Multi,10-19 units",939.08976467911,781.22532783861,"Imputed","1825 MARYLAND AV APT",1,"3","WASHINGTON","MARYLAND AVE NE","1825","DC","200023070"
"202603",257102,"S35A","B0031",77,"I","S","R","001","DC","201909",73,3700,"02","J","2","0","2","2","Single Attached",2123.96146384063,2107.78081993153,"Imputed","",1,"","WASHINGTON","H ST NE","1811","DC","200024017"
"202603",257103,"S35A","B0031",133,"I","S","R","001","DC","201409",133,700,"50","V","1","0","1","8","Multi, 3-4 units",632.712106584669,628.005834381079,"Imputed","",1,"2","WASHINGTON","I ST NE","1838","DC","200024046"
"202603",257108,"S35A","B0031",387,"I","S","R","001","DC","202505",5,1400,"01","Y","1","0","1","8","Multi, 3-4 units",1387.56425428033,1341.0362190278,"Collected","",1,"2","WASHINGTON","H ST NE","1713","DC","200026915"
"202603",257109,"S35A","B0031",424,"I","S","R","001","DC","201708",98,1450,"01","Y","1","0","1","7","Multi, 2 units",1434.41895366389,1434.41895366389,"Collected","",1,"A","WASHINGTON","18TH ST NE","830","DC","200026932"
"202603",257111,"S35A","B0031",504,"I","S","R","001","DC","201605",113,923,"01","D","1","0","1","8","Multi, 3-4 units",913.037255859673,866.530397389438,"Collected","",1,"C","WASHINGTON","BENNING RD NE","1732","DC","200027268"
"202603",257112,"S35A","B0031",542,"I","S","R","001","DC","202306",28,1016.61,"50","W","1","0","1","11","Multi, 20-49 units",866.561309458488,904.222977369209,"Imputed","TORUS",1,"304","WASHINGTON","BENNING RD NE","1827","DC","200027292"
"202603",262406,"S35A","C0017",77,"I","S","R","001","DC","202108",50,1590,"01","Z","1","0","1","11","Multi, 20-49 units",1685,1588.46747988626,"","DUPONT APARTMENTS",1,"APT 207","WASHINGTON","20TH ST NW","1717","DC","200091114"
"202603",262409,"S35A","C0017",319,"I","S","R","001","DC","202406",16,1897,"01","Y","0","0","1","12","Multi, 50 units",1983.26795193103,1816.85028303919,"Collected","PRESIDENT MADISON",1,"APT 123","WASHINGTON","FLORIDA AVE NW","1908","DC","200091228"
"202603",262410,"S35A","C0017",379,"I","S","R","001","DC","202406",16,2020,"01","D","0","0","1","12","Multi, 50 units",2084.96112962608,1931.1530566134,"Collected","PRESIDENT MADISON",1,"APT 232","WASHINGTON","FLORIDA AVE NW","1908","DC","200091237"
"202603",262412,"S35A","C0017",513,"I","S","R","001","DC","202406",16,2100,"01","Z","1","0","1","11","Multi, 20-49 units",2155,2155,"","THE SEDGEWICK",1,"APT 106","WASHINGTON","19TH ST NW","1722","DC","200091651"
"202603",262452,"S35A","C0019",147,"I","S","R","001","DC","202008",62,390,"01","Y","1","0","1","10","Multi,10-19 units",2735.06742491753,2688.34638236157,"Collected","CENTER OF WASH, APTS",1,"102","WASHINGTON","6TH ST NW","1312","DC","200013488"
"202603",262453,"S35A","C0019",216,"I","S","R","001","DC","202411",11,2750,"01","Y","1","0","1","10","Multi,10-19 units",2283.30372106184,2236.43565801831,"Collected","WASHINGTON APTS",1,"403","WASHINGTON","6TH ST NW","1310","DC","200013495"
"202603",262454,"S35A","C0019",461,"I","S","R","001","DC","201909",73,2500,"01","Y","2","0","1","10","Multi,10-19 units",2485.65526062661,2438.93421807065,"Collected","WASHINGTON APTS",1,"104","WASHINGTON","7TH ST NW","1203","DC","200013559"
"202603",262455,"S35A","C0019",528,"I","S","R","001","DC","202008",62,941,"01","Y","2","0","1","10","Multi,10-19 units",1919.26439705296,1872.543354497,"Collected","WASHington APTS",1,"203","WASHINGTON","7TH ST NW","1211","DC","200013563"
"202603",262459,"S35A","C0019",838,"I","S","R","001","DC","",0,2775,"01","Y","2","0","2","10","Multi,10-19 units",3260.92509701294,3214.16151597733,"Collected","MCCOLLOUGH PARADISE",1,"3","WASHINGTON","L ST NW","503","DC","200014085"
"202604",262528,"S35A","C0029",504,"I","S","R","001","DC","202208",0,1267.87,"50","Z","1","0","1","7","Multi, 2 units",0,0,"","",1,"APT A","WASHINGTON","6TH ST NE","316","DC","200025808"
