"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","COMPLEX","SECTORID","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP"
"202603",266906,"S35B","B0015",225,"I","S","R","011","FL","201811",83,1525,"99","J","2","0","1","10","Multi,10-19 units",1693.38823003015,1527.31089110647,"Imputed","",1,"105","CORAL SPRINGS","NW 88TH AVE","4111","FL","330651800"
"202603",266907,"S35B","B0015",243,"I","S","R","011","FL","201811",83,1625,"99","J","2","0","2","10","Multi,10-19 units",1811.57445867738,1643.28923545678,"Imputed","",1,"202","CORAL SPRINGS","NW 88TH AVE","4135","FL","330651827"
"202603",266911,"S35B","B0015",327,"I","S","R","011","FL","201504",126,1200,"99","J","2","0","1","9","Multi, 5-9 units",1328.43118927836,1189.42053269849,"Imputed","",1,"105","CORAL SPRINGS","NW 88TH AVE","4109","FL","330651873"
"202603",266913,"S35B","B0015",359,"I","S","R","011","FL","202207",39,2100,"99","J","2","0","2","9","Multi, 5-9 units",2205.93826869447,2137.60481953257,"Imputed","",1,"202","CORAL SPRINGS","NW 88TH AVE","4119","FL","330651878"
"202603",266914,"S35B","B0015",375,"I","S","R","011","FL","202212",34,1400,"99","J","1","1","1","10","Multi,10-19 units",1617.05247138783,1453.63810433839,"Imputed","",1,"204","CORAL SPRINGS","NW 88TH AVE","4121","FL","330651880"
"202603",266915,"S35B","B0015",401,"I","S","R","011","FL","202310",24,1950,"99","J","2","0","2","9","Multi, 5-9 units",2049.26442794555,2049.38000957326,"Imputed","",1,"202","CORAL SPRINGS","NW 88TH AVE","4129","FL","330651882"
"202603",266916,"S35B","B0015",417,"I","S","R","011","FL","201903",79,1500,"99","J","1","1","1","9","Multi, 5-9 units",1674.183598001,1514.01423634725,"Imputed","",1,"204","CORAL SPRINGS","NW 88TH AVE","4137","FL","330651888"
"202603",266917,"S35B","B0015",433,"I","S","R","011","FL","201811",83,1400,"99","J","1","0","1","10","Multi,10-19 units",1617.57036652136,1454.12986459412,"Imputed","",1,"101","CORAL SPRINGS","NW 88TH AVE","4115","FL","330651892"
"202603",266918,"S35B","B0015",452,"I","S","R","011","FL","202309",0,1900,"99","J","2","0","2","10","Multi,10-19 units",1996.71918620335,1996.83180419959,"Imputed","",1,"106","CORAL SPRINGS","NW 88TH AVE","4133","FL","330651897"
"202603",266919,"S35B","B0015",469,"I","S","R","011","FL","202201",45,1660,"99","J","2","0","1","8","Multi, 3-4 units",1853.83441938507,1676.87091484861,"Imputed","",1,"4","CORAL SPRINGS","RIVERSIDE DR","4000","FL","330655911"
"202603",266921,"S35B","B0015",492,"I","S","R","011","FL","202202",44,1250,"99","J","2","0","1","8","Multi, 3-4 units",1391.06620630804,1308.01780596236,"Imputed","",1,"4","CORAL SPRINGS","RIVERSIDE DR","4106","FL","330655920"
"202603",266923,"S35B","B0015",514,"I","S","R","011","FL","201905",77,3000,"99","J","2","0","2","8","Multi, 3-4 units",3447.82142565409,3410.67024620907,"Imputed","",1,"4","CORAL SPRINGS","RIVERSIDE DR","4200","FL","330655933"
"202603",266924,"S35B","B0015",525,"I","S","R","011","FL","202112",46,1200,"99","J","2","0","1","8","Multi, 3-4 units",1339.64283243294,1195.86146608757,"Imputed","",1,"3","CORAL SPRINGS","RIVERSIDE DR","4222","FL","330655937"
"202603",266925,"S35B","B0015",535,"I","S","R","011","FL","201409",133,1500,"99","J","2","0","1","8","Multi, 3-4 units",1671.52909785893,1511.60475864159,"Imputed","",1,"2","CORAL SPRINGS","RIVERSIDE DR","4320","FL","330655942"
"202603",267058,"S35B","B0023",88,"I","S","R","011","FL","201907",75,1200,"99","J","2","0","2","10","Multi,10-19 units",1337.40247824952,1201.99345071238,"Imputed","",1,"H4","COCONUT CREEK","PORTOFINO ISLE","3001","FL","330661208"
"202603",267072,"S35B","B0023",904,"I","S","R","011","FL","",0,1400,"99","J","2","0","2","11","Multi, 20-49 units",1639.35563723946,1469.40767058376,"Imputed","",1,"M4","COCONUT CREEK","VICTORIA WAY","2804","FL","330661330"
"202603",267701,"S35B","B0059",4,"I","S","R","011","FL","201909",73,1700,"99","J","3","0","3","2","Single Attached",2295.12016152361,2362.71035631202,"Imputed","",1,"","PEMBROKE PINES","NW 14TH CT","12357","FL","330263800"
"202603",267712,"S35B","B0059",294,"I","S","R","011","FL","202010",60,1900,"99","J","2","0","2","2","Single Attached",2515.49973135051,2551.80707968852,"Imputed","",1,"","PEMBROKE PINES","NW 12TH CT","12387","FL","330263850"
"202603",267721,"S35B","B0059",518,"I","S","R","011","FL","201907",75,1650,"99","J","1","0","1","9","Multi, 5-9 units",1840.93785836667,1716.35197924988,"Imputed","",1,"","PEMBROKE PINES","NW 10TH ST","11547","FL","330264332"
"202603",267752,"S35B","B0061",254,"I","S","R","011","FL","202409",13,3835,"99","J","4","0","3","1","Single Detached",4017.1208869126,3997.40314573399,"Imputed","",1,"","MIRAMAR","SW 153RD AVE","3940","FL","330273367"
"202603",267757,"S35B","B0061",424,"I","S","R","011","FL","202005",65,3208,"99","J","3","0","2","1","Single Detached",3360.75332677868,3344.26281474292,"Imputed","",1,"","MIRAMAR","SW 51ST ST","15290","FL","330273607"
"202603",267764,"S35B","B0061",644,"I","S","R","011","FL","201409",133,3274,"99","J","3","1","2","1","Single Detached",3274.32988978061,3327.33917145433,"Imputed","",1,"","MIRAMAR","SW 151ST AVE","4661","FL","330273650"
"202603",267966,"S35B","B0070",185,"I","S","R","086","FL","202301",33,2825,"99","J","2","0","2","12","Multi, 50 units",3058.12971648336,3063.27640330012,"Imputed","TOWER 300",1,"1117","AVENTURA","MYSTIC POINTE DR","3600","FL","331802561"
"202603",267975,"S35B","B0070",436,"I","S","R","086","FL","201907",75,2950,"99","J","2","0","2","4","Multi Unit with elevator",3193.83537116064,3201.75586814419,"Imputed","TOWER 400",1,"2207","AVENTURA","MYSTIC POINTE DR","3500","FL","331802583"
"202603",267979,"S35B","B0070",579,"I","S","R","086","FL","202306",28,4200,"99","J","3","1","2","1","Single Detached",4549.33882904601,4585.08502746247,"Imputed","MYSTIC POINTED 600",1,"TH6","AVENTURA","MYSTIC POINTE DR","3475","FL","331802896"
"202603",267980,"S35B","B0070",625,"I","S","R","086","FL","202301",33,3000,"99","J","2","0","2","12","Multi, 50 units",3249.86530195579,3258.9310451861,"Imputed","TOWER 500",1,"407","AVENTURA","MYSTIC POINTE DR","3530","FL","331804525"
"202603",268121,"S35B","B0079",274,"I","S","R","086","FL","201001",189,1650,"99","J","4","0","2","2","Single Attached",2169.77018000427,2286.36105269522,"Imputed","",1,"","HIALEAH","W 37TH ST","1145","FL","330124941"
"202603",268127,"S35B","B0079",698,"I","S","R","086","FL","200101",297,1200,"99","J","3","1","1","2","Single Attached",1825.00142500778,1885.70784770733,"Imputed","",1,"","HIALEAH","W 37TH TER","825","FL","330128215"
"202603",268156,"S35B","B0081",74,"I","S","R","086","FL","202112",46,1500,"01","Y","2","0","1","2","Single Attached",1488.46463148901,1439.51192386088,"Collected","",1,"","HIALEAH","E 10TH ST","556","FL","330103634"
"202603",268161,"S35B","B0081",202,"I","S","R","086","FL","201101",177,8888,"02","J","3","0","2","7","Multi, 2 units",2454.55292050576,2474.5958533433,"Imputed","",1,"","HIALEAH","E 10TH PL","670","FL","330103667"
"202603",268268,"S35B","B0090",28,"I","S","R","086","FL","201512",118,1000,"99","J","2","0","1","2","Single Attached",1234.72941148213,1095.888405581,"Imputed","",1,"1","MIAMI","NW 15TH AVE","4711","FL","331424108"
"202603",268269,"S35B","B0090",82,"I","S","R","086","FL","201712",94,2700,"99","J","3","0","1","1","Single Detached",2837.42303811851,2802.94855138524,"Imputed","",1,"","MIAMI","NW 15TH CT","4737","FL","331424118"
"202603",268270,"S35B","B0090",126,"I","S","R","086","FL","202404",18,2100,"99","J","1","0","1","2","Single Attached",2189.71579366684,2129.75437559148,"Imputed","",1,"","MIAMI","NW 16TH AVE","4641","FL","331424124"
"202603",268271,"S35B","B0090",175,"I","S","R","086","FL","202303",31,2300,"99","J","2","0","1","2","Single Attached",2200.87223026817,2262.50811757583,"Imputed","",1,"","MIAMI","NW 46TH ST","1328","FL","331424144"
