"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","COMPLEX","SECTORID","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP"
"202603",160285,"N49H","B0034",54,"I","S","R","051","OR","202310",24,1295,"01","D","2","0","1","10","Multi,10-19 units",1283.02865927606,1211.70706955401,"Collected","",1,"","PORTLAND","SE TAYLOR ST","2206","OR","972142835"
"202603",160287,"N49H","B0034",180,"I","S","R","051","OR","202010",60,1145,"01","Y","1","0","1","10","Multi,10-19 units",1134.77242748393,1061.82676111362,"Collected","MARTINIQUE APTS",1,"2","PORTLAND","SE MAIN ST","1720","OR","972143765"
"202603",160289,"N49H","B0034",288,"I","S","R","051","OR","202310",24,1395,"01","Y","1","0","1","9","Multi, 5-9 units",1385.36521095107,1313.16634725961,"Collected","",1,"","PORTLAND","SE MAIN ST","1905","OR","972143826"
"202603",160290,"N49H","B0034",359,"I","S","R","051","OR","202310",24,1155,"01","Y","1","0","1","10","Multi,10-19 units",1144.3589281064,1082.18881918247,"Collected","",1,"","PORTLAND","SE SALMON ST","2050","OR","972143842"
"202603",160291,"N49H","B0034",416,"I","S","R","051","OR","201109",169,950,"01","Y","1","0","1","2","Single Attached",943.185702081344,870.898105297592,"Collected","",1,"C","PORTLAND","SE HAWTHORNE BLVD","2131","OR","972143852"
"202603",160292,"N49H","B0034",464,"I","S","R","051","OR","202408",14,1295,"01","Y","0","0","1","11","Multi, 20-49 units",1219.25027396152,1212.24998230376,"Collected","",1,"305","PORTLAND","SE 20TH AVE","1210","OR","972143865"
"202603",160293,"N49H","B0034",518,"I","S","R","051","OR","202108",50,1380,"01","Y","1","0","1","11","Multi, 20-49 units",1367.87881259148,1295.04978247806,"Collected","",1,"1","PORTLAND","SE MADISON ST","2023","OR","972143879"
"202603",160386,"N49H","B0041",10,"I","S","R","051","OR","",0,1195,"02","Z","2","0","1","2","Single Attached",0,0,"","",1,"","PORTLAND","N ALASKA ST","4063","OR","972032001"
"202603",160393,"N49H","B0041",374,"I","S","R","051","OR","201402",140,1230,"02","J","3","1","2","1","Single Detached",1491.72398166679,1442.89062612347,"Imputed","",1,"","PORTLAND","N DWIGHT AVE","8806","OR","972033525"
"202603",160536,"N49H","B0053",37,"I","S","R","051","OR","",0,1420,"01","Y","1","0","1","10","Multi,10-19 units",1476.66749202802,1411.88360469892,"Collected","CORBETT LANDING APTS",1,"7","PORTLAND","S CORBETT AVE","6425","OR","972393559"
"202603",160537,"N49H","B0053",77,"I","S","R","051","OR","202508",2,1895,"01","Y","2","0","1","10","Multi,10-19 units",1936.21081609754,1880.50858853164,"Collected","THE EMMA RAE",1,"305","PORTLAND","S VIRGINIA AVE","6015","OR","972393665"
"202603",160538,"N49H","B0053",143,"I","S","R","051","OR","201502",128,2255,"01","Y","3","1","2","2","Single Attached",2312.28223944973,2312.28223944973,"Collected","",1,"","PORTLAND","S HOOD AVE","5914","OR","972393719"
"202603",160540,"N49H","B0053",253,"I","S","R","051","OR","201208",158,1298,"01","Y","2","0","1","9","Multi, 5-9 units",1324.92611356097,1324.92611356097,"Collected","",1,"6","PORTLAND","S HOOD AVE","5924","OR","972393775"
"202603",160541,"N49H","B0053",285,"I","S","R","051","OR","202403",19,1422.9,"01","Y","1","0","1","11","Multi, 20-49 units",1493.80656601105,1493.72591537707,"Collected","The Macadam",1,"1205","PORTLAND","S MACADAM AVE","5885","OR","972393793"
